S1 X osa,S1 Y osa,S1 Z osa,S2 X osa,S2 Y osa,S2 Z osa,S3 X osa,S3 Y osa,S3 Z osa,S4 X osa,S4 Y osa,S4 Z osa,S5 X osa,S5 Y osa,S5 Z osa,S6 X osa,S6 Y osa,S6 Z osa
-46.487251000000015,-1736.151276,1100.594788,-90.78203500000001,-1766.404907,1067.097595,-44.990714999999994,-1796.451599,1102.214905,-53.963798,-1791.795807,1042.017395,-10.570128999999994,-1769.815369,1064.530457,-52.09511499999999,-1740.454285,1043.524353
-47.506843,-1773.941925,1106.198059,-91.616447,-1798.708527,1068.172546,-45.98696100000001,-1834.169708,1098.641541,-54.19620499999999,-1819.468842,1039.644104,-11.398567,-1801.6694029999999,1065.509705,-52.54628700000001,-1769.08075,1049.306336
-48.60453000000001,-1812.288055,1109.900818,-92.512123,-1830.973907,1068.412048,-46.894690999999995,-1870.74646,1093.099182,-55.01627300000001,-1846.631897,1037.341858,-12.098776999999998,-1833.220642,1065.785217,-53.294928999999996,-1798.450989,1054.623108
-49.674262999999996,-1851.413544,1112.066834,-93.36743899999999,-1863.177155,1067.782532,-47.59352799999999,-1906.435974,1086.371399,-55.850607999999994,-1873.56311,1034.942078,-12.962103999999997,-1864.673676,1065.213074,-54.098487000000006,-1828.775543,1059.537293
-50.800224000000014,-1890.7376100000001,1112.178406,-93.997139,-1894.902679,1066.45282,-47.689064,-1942.613922,1078.418884,-56.35529299999999,-1900.3962099999999,1032.497009,-14.025215000000003,-1896.248016,1063.962708,-54.91907499999999,-1860.216187,1064.046936
-51.93968899999999,-1930.254089,1110.384461,-94.967323,-1926.778503,1064.100159,-49.597724,-1973.850113,1068.392395,-57.02696900000001,-1927.237762,1029.912048,-14.809050999999997,-1928.214661,1061.84845,-55.20754199999999,-1892.9445799999999,1067.485046
-53.142387000000014,-1969.810715,1106.538757,-95.652015,-1958.874207,1060.956604,-50.688118,-2005.888321,1057.736145,-57.675972,-1954.146561,1027.269104,-14.865791000000002,-1961.086243,1059.439392,-56.52671000000001,-1926.524963,1069.816956
-54.32437899999999,-2009.198639,1100.65863,-96.509727,-1991.1000060000001,1057.017273,-51.558325999999994,-2037.1307219999999,1046.628845,-58.31250700000001,-1981.083405,1024.235046,-15.859251999999998,-1992.599777,1055.994568,-56.244102,-1960.899704,1071.68927
-55.48374100000001,-2048.310333,1092.766052,-97.26409100000001,-2023.447723,1052.224671,-52.466819000000015,-2067.417038,1035.003235,-58.73050599999999,-2008.064453,1021.5551150000001,-16.632034000000004,-2025.035568,1051.43512,-58.334509999999995,-1995.330399,1072.662293
-56.85138699999999,-2087.05854,1083.020081,-97.866432,-2056.274765,1046.518616,-53.395927,-2096.742767,1023.123108,-59.12775400000001,-2035.845764,1019.210754,-17.467529,-2057.659897,1046.195007,-59.48464200000001,-2031.306046,1071.447205
-57.908912000000015,-2125.344688,1071.379456,-98.62370999999999,-2088.880806,1039.868347,-53.920890000000014,-2125.384796,1010.855652,-59.748695,-2064.717133,1016.2860720000001,-18.328604999999996,-2090.53688,1039.973816,-60.39501100000001,-2068.282852,1068.914734
-59.05721199999999,-2162.86124,1058.036682,-99.487953,-2121.63031,1032.233948,-54.69158100000001,-2153.065277,998.4087529999999,-60.08391499999999,-2094.438972,1013.4933470000001,-19.219550999999996,-2123.583382,1032.82428,-61.368202,-2106.118622,1064.3078
-60.25237200000001,-2199.654168,1043.090515,-100.273628,-2154.492268,1023.6709599999999,-55.417700999999994,-2180.268602,985.898377,-60.61080100000001,-2124.960991,1009.818421,-19.832351000000003,-2157.285004,1024.6474,-62.37865400000001,-2144.558254,1057.868225
-61.163612,-2235.536449,1026.794983,-101.15067200000001,-2187.467338,1014.1117549999999,-56.003608000000014,-2206.763279,973.101257,-61.266975,-2156.442917,1005.5010380000001,-21.069052999999997,-2190.501781,1015.2708130000001,-63.44780700000001,-2183.399563,1049.603943
-62.878624,-2269.401543,1008.176209,-101.99252999999999,-2220.54891,1003.473694,-56.600562999999994,-2233.444542,960.5088499999999,-61.99271300000001,-2188.847551,1000.4122930000001,-21.723067999999998,-2224.365425,1005.0138549999999,-64.549644,-2222.442503,1039.479797
-63.97106099999999,-2302.89872,988.9953,-103.049858,-2254.036274,991.88031,-57.19539599999999,-2259.878044,947.4491579999999,-62.69448,-2222.230022,994.360657,-22.674041000000003,-2258.184425,993.4609989999999,-65.72983500000001,-2261.517162,1027.45636
-65.04236599999999,-2335.448196,968.843079,-104.25389799999999,-2287.298256,979.2661740000001,-57.60138699999999,-2286.656746,934.5859989999999,-63.088066,-2256.340611,987.3820189999999,-23.528357999999997,-2292.122253,980.7254029999999,-66.931297,-2300.512672,1013.342224
-65.967903,-2367.074432,947.684876,-104.968132,-2320.802956,965.414002,-58.243690000000015,-2313.338776,921.555359,-65.034233,-2291.968422,978.6111450000001,-24.387916000000004,-2326.318108,966.875671,-68.109489,-2339.39093,997.434143
-67.072105,-2397.648529,926.082825,-105.860649,-2354.220108,950.559143,-58.298225,-2340.037796,908.814392,-65.33661599999999,-2328.211876,968.3886110000001,-25.304275000000004,-2360.402023,951.697449,-69.29108400000001,-2378.00473,979.406555
-68.00647699999999,-2427.217453,903.815247,-106.75098399999999,-2387.770157,934.6351930000001,-58.402671,-2367.29509,895.5341189999999,-66.10839000000001,-2365.358109,956.503357,-26.227553999999998,-2394.601318,935.3272099999999,-70.566993,-2416.244873,959.4324340000001
-68.93888000000001,-2455.773529,881.226013,-107.35485,-2421.035095,917.502258,-58.405891,-2395.095306,882.270325,-66.86788100000001,-2403.148972,942.9541630000001,-27.160101999999995,-2428.76474,917.716126,-71.35289700000001,-2453.320084,937.8286740000001
-69.901634,-2483.345032,858.2471310000001,-108.25370000000001,-2454.670883,899.4743040000001,-58.43088499999999,-2423.632523,868.914368,-67.761451,-2441.446716,927.6504520000001,-28.049339000000003,-2462.961548,898.7880250000001,-72.785438,-2490.337677,914.6713259999999
-70.53485800000001,-2510.105255,835.0836790000001,-109.12787600000001,-2488.254547,880.345032,-59.540167999999994,-2454.016327,855.381531,-68.672294,-2480.067322,910.601257,-28.902488000000005,-2497.04425,878.5626830000001,-74.119392,-2526.394867,889.993469
