S1-6 X osa,S1-6 Y osa,S1-6 Z osa
-60.800016666666664,2096.6968588333334,1015.6745401666667
-62.59325916666668,2098.4176838333333,1005.522105
-64.59440933333333,2100.050822,995.5816141666666
-66.80455266666667,2102.5801188333335,985.5208334999999
-69.48275383333333,2104.5567628333333,975.7318318333333
-71.97739616666667,2107.253743333333,966.2162068333333
-74.444247,2110.5284016666665,956.4076130000002
-76.76600066666667,2113.628255333333,947.592743
-79.09652200000001,2116.9001464999997,938.4286396666666
-80.966525,2120.8178303333334,929.7669678333333
-83.00323033333332,2124.9316811666667,920.3286436666667
-85.33162566666667,2130.2827555,911.1740111666668
-81.2285348,2129.347119,901.9367554
-83.932517,2134.4442872,892.1220582
-87.04375519999999,2140.46416,882.7222534
-90.35581199999999,2146.4436034,873.6170654
-93.5435426,2153.0484374,864.7407347999999
-96.6609924,2159.8507812,855.9948486
-99.6898162,2167.0409668,847.4395751999998
-102.9149292,2174.6924804,838.961499
-106.0890778,2182.5912112,830.7146483999999
-109.6396286,2190.5967774000005,822.4741455999999
-113.17734680000001,2198.8158204,814.2516112
-112.42255050000001,2206.02838125,815.9401702499999
-116.02956599999999,2214.21490475,808.3815460000001
-119.55295774999999,2222.39489775,801.1496582499999
-145.626251,2414.31903075,679.1223754999999
-146.628376,2409.3733522499997,678.01892075
-147.64713275,2402.5132442500003,677.61259475
-149.03059775,2394.8997195,677.0070497500001
-150.38056,2385.87847925,676.912735
-152.0538175,2375.88226325,676.6394655
-153.80210325000002,2364.9654539999997,676.601822
-155.45004450000002,2352.2901,677.2749477499999
-157.254549,2337.7746582499994,678.2914274999999
-158.8011075,2322.1640015,679.5141297499999
-160.3366585,2305.1277465000003,681.4558565
-166.39637,2295.3479492,688.639734
-167.76871799999998,2276.06792,691.4962892
-169.5820832,2254.3071778000003,695.130127
-174.3788422,2223.530176,701.7323362
-177.325119,2201.3848065,699.9367065
-179.0522513333333,2174.4451498333333,706.5205181666666
-176.4407348,2151.0442382,719.9474854
-173.69711675,2112.121155,727.17350775
-175.3934785,2078.1260985,740.1545257500001
-177.10724625,2044.3439635,754.7901765
-183.07671499999998,2018.1227295999997,773.99541
-185.28327433333334,1981.6918536666665,785.7867126666666
-183.74422299999998,1936.9789062,807.2917604
-186.6893285,1903.7520953333333,835.1245015
-186.924413,1865.0998943333334,863.8761495
-186.77443183333335,1828.1692505,895.2449748333333
-186.52144116666668,1791.0873008333335,928.512787
-187.2637328333333,1755.2620848333336,963.6854145000001
-187.99565883333332,1719.3496298333332,999.8541261666666
-188.65233366666666,1684.2729696666665,1036.7992451666667
-189.75951900000004,1650.6818033333336,1074.0776976666668
-190.80992383333333,1616.6944375000003,1111.494527
-192.00905083333336,1582.7538860000002,1148.1552936666667
-192.90548950000002,1548.9287311666667,1184.1266276666668
-193.938133,1515.4809976666668,1218.5851846666665
-194.91163383333333,1481.8836871666665,1252.4532675
-195.89082333333337,1448.5342,1285.2975665
-196.4576035,1415.129170833333,1316.9045409999999
-197.18301900000003,1383.041178166667,1347.5501505
-198.25263466666664,1349.2385253333334,1377.6596475
-198.98491166666668,1315.910441,1406.4813233333332
-200.06808233333334,1282.5408530000002,1434.7220256666667
-200.85185983333335,1249.5080566666668,1462.0340371666668
-201.68564616666666,1216.5753986666666,1488.0405883333333
-201.42286950000002,1181.3046061666666,1513.5161336666667
-202.76672083333332,1149.5239256666666,1537.2880045
-204.17857616666666,1118.1097616666666,1560.0365803333334
-204.95642850000002,1084.8142090000001,1582.6381023333333
-206.10873433333333,1051.5870768333332,1603.991984
-207.07409400000003,1017.9317726666667,1625.0858153333331
-208.0106506666667,986.090973,1644.3865355
-209.142616,952.9023843333334,1662.8889570000001
-210.31714883333333,919.57782,1680.118876166667
-211.43715666666665,886.6377663333333,1696.3800863333333
-212.5369033333333,853.6471458333334,1711.8284098333334
-213.63637266666663,820.4911703333333,1726.3841348333335
-214.85354866666668,787.4001566666666,1739.7918903333332
-216.23139950000004,754.3463846666667,1752.3120523333334
-217.558075,721.1937561666667,1763.7477211666665
-218.79064949999997,687.854584,1774.1608886666666
-220.1676838333333,654.7075093333333,1783.5002033333337
-221.46697500000002,621.5813293333334,1791.8276976666666
-222.5734201666667,588.454478,1799.1729329999998
-223.99289983333335,555.1403300000001,1805.4493815000003
-225.16458616666668,522.0314331666666,1810.7096964999998
-226.15487916666666,488.88980100000003,1814.844014333333
-227.51159683333333,455.4892223333333,1818.0564168333333
-228.65992466666668,422.25728849999996,1820.2901611666668
-229.73400366666667,388.8168945,1821.1672566666668
-230.942154,355.56336450000003,1821.2052816666667
-231.16675550000002,321.87892666666664,1820.252034666667
-233.16305799999998,290.07827,1817.99823
-233.95320383333333,256.8599981666667,1815.180013
-234.76744349999998,223.95800516666668,1811.2423705
-235.8788605,191.0887071666667,1806.2510986666668
-236.832713,158.27565916666666,1800.0789185
-237.644226,125.49755983333334,1792.9776815000002
-238.576172,92.91589933333334,1784.9339398333334
-239.33739216666666,60.3224155,1775.9802448333332
-240.29473116666668,27.678704999999997,1765.923645
-240.96441133333337,-4.803499499999998,1754.9489748333335
-241.56110149999998,-37.02889,1743.0532023333333
-242.33565016666668,-69.21283466666667,1730.2673134999998
-243.0465675,-101.26478933333334,1716.4104411666667
-243.80019383333334,-133.18822733333332,1701.748637
-244.43773633333333,-165.18738566666667,1686.1163941666666
-245.10701733333335,-197.23567716666665,1669.5716351666667
-245.767924,-229.17988833333334,1652.0916138333332
-245.8370616666667,-261.98223883333327,1633.9175008333334
-247.30011766666667,-293.03744516666666,1614.4535114999999
-248.0957515,-324.91907749999996,1594.2431235000001
-248.68050133333335,-356.6517078333333,1573.3365073333334
-249.59812966666667,-388.35765583333335,1551.3406778333335
-250.42110183333332,-420.2055765,1528.4456583333333
-251.20830766666666,-451.86184183333336,1504.7027385000001
-252.10164900000004,-483.7600353333333,1479.970866
-253.03329233333332,-515.8812661666667,1454.3195395
-254.22139983333338,-546.3251443333334,1429.2023316666666
-248.32164749999995,-566.7342326666667,1416.4905394999998
-242.59365849999998,-581.8341878333333,1413.8248901666666
-244.39787300000003,-593.2889100000001,1412.213562
-247.97571066666669,-605.791514,1409.610799
-253.80349983333338,-614.1385193333334,1406.3627521666667
-256.3464228333334,-627.870697,1400.8443808333332
-258.3823038333333,-642.4559835,1394.4040528333335
-258.1409885,-660.4233806666667,1388.2316286666664
-256.8347755,-674.8270873333333,1380.9736123333334
-257.314572,-684.532788,1382.6059816000002
-253.13641099999998,-699.7888895,1372.1480714999998
-250.90210983333336,-711.6106261666667,1367.7480671666665
-249.143229,-724.9717099999999,1363.6816813333332
-247.21619916666666,-732.7490031666666,1359.6541748333334
-246.78641266666668,-741.5382894999999,1355.8006591666665
-248.40313700000002,-746.1338378,1358.7389891999999
-248.92278140000002,-752.0592654,1355.9846926
-249.50754080000002,-756.8348022000001,1353.4109376000001
-251.05141450000002,-766.1412507500002,1359.5834960000002
-252.20921700000002,-769.22174075,1357.2972412499998
-251.4274992,-766.9827148,1348.6696533999998
-254.13547525,-776.0189057499999,1353.7505795
-253.169702,-773.6512694,1345.1956542
-253.75573100000003,-776.8034668,1343.4209716
-254.6029388,-779.4606204000002,1341.693042
-255.47257399999998,-781.8850586,1339.9549069999998
-256.0727174,-783.9197022000001,1338.3771238
-256.9009308,-785.9036376,1336.6937744000002
-257.8719176,-787.8294432,1335.332837
-259.0615782,-789.3628415999999,1334.1828123999999
-259.80817579999996,-791.7490356000001,1332.919336
-260.7496916,-793.4713621999999,1331.5419678
-263.42504475000004,-800.71307375,1336.98477175
-264.3233755,-801.83876025,1335.9938049999998
-264.93195325,-802.356155,1335.407898
-265.74179825,-801.97979725,1335.539978
-266.547474,-801.68692,1335.57812525
-267.35528575,-801.336731,1335.79180925
-268.7061005,-800.779434,1336.46560675
-269.52253725,-800.4515535,1337.4996947500001
-270.36415875,-800.0485535,1338.909973
-271.1922455,-799.5639345,1340.5551452500001
-272.12765875,-798.9322205000001,1342.60736075
-273.04381550000005,-798.0135955,1344.9226075000001
-273.98144525,-796.7559052500001,1347.44043
-275.01977899999997,-795.29963675,1350.1092832499999
