S1-6 X osa,S1-6 Y osa,S1-6 Z osa
-194.23384866666666,942.8813578333334,1919.7245483333334
-194.20048283333335,907.796346,1942.9024861666667
-194.70952333333335,872.1405741666667,1964.9730225
-194.2636135,837.6575826666667,1986.0365193333334
-194.13022366666667,802.2011516666666,2005.976461
-194.04654933333333,766.9042358333332,2024.9012858333335
-193.97602849999998,731.6599730000002,2042.6057333333335
-194.04160299999998,696.4806011666666,2058.8353678333337
-199.60007320000003,656.4658448,2072.7895508
-193.84915683333335,626.9762471666668,2088.5540771666665
-193.80279033333332,592.3295999999999,2101.961873333333
-193.74742916666665,557.7568868333333,2114.335001666667
-194.388232,522.521815,2125.565145
-193.22304283333335,488.3353726666667,2136.1674806666665
-193.98556516666667,455.2592825,2144.9983725
-194.0009663333333,421.0915526666667,2153.6338296666668
-194.106448,387.22452283333337,2161.1184895
-194.41223666666667,353.3461101666667,2167.3229573333333
-194.47602099999997,319.755478,2172.8369546666668
-194.5444055,286.27142599999996,2177.5328775000003
-194.56392666666667,252.90777100000003,2181.411905833333
-194.59322116666667,219.65810650000003,2184.4681803333333
-194.64847583333332,186.43429816666665,2186.6523845
-194.06094099999999,152.3484701666667,2188.242797833333
-194.88342283333336,117.77163800000001,2188.775105666667
-195.41587316666667,85.2195505,2188.3430175
-192.99973816666662,50.56499650000001,2186.6693928333334
-192.86888883333333,16.815422166666664,2184.449829
-194.20279200000002,-14.623741333333333,2181.455118666667
-194.1094945,-48.54475183333333,2177.3804118333333
-193.83741999999998,-82.29255983333333,2172.145426333333
-194.82205983333333,-117.87250766666669,2165.8427735
-193.807228,-150.48607366666667,2158.713256833333
-193.7212473333333,-184.49045816666668,2150.5331218333336
-192.85335033333334,-219.68331149999997,2141.1848145
-192.847997,-253.9648561666667,2130.6874593333337
-193.79167683333333,-287.0968678333333,2119.4086506666667
-193.76982633333333,-321.64125033333335,2106.9055176666666
-193.8064065,-356.1024628333333,2093.310424666667
-193.81691733333332,-390.44205733333337,2078.732625166667
-193.87742583333332,-424.61297616666667,2062.8399251666665
-193.9018125,-458.6952515,2045.8001098333334
-193.83023566666668,-492.4850411666668,2027.7451986666665
-193.76231616666666,-526.129359,2008.7066446666668
-193.84736883333335,-559.8159588333333,1988.5994466666668
-194.013387,-593.2713013333333,1967.5726521666668
-194.18707783333332,-626.7475485,1945.4575398333334
-196.7439454,-653.0500123999999,1924.5909914
-193.96593483333334,-692.698049,1898.6428221666665
-194.39165233333333,-726.1514791666667,1873.6943968333335
-194.70358516666667,-758.9653320000001,1847.7657673333333
-195.38652283333332,-791.5240886666666,1820.7068683333334
-195.6013795,-823.9179180000001,1793.1458943333334
-197.32131183333334,-853.0743205,1772.0617065000004
-194.39450359999998,-873.3502562,1770.4724854
-197.1472106,-880.8652222000001,1764.7572022
-208.7425995,-889.99913,1760.41452
-200.4794402,-897.5704099999999,1750.5509523999997
-200.605435,-910.1689574,1743.1274170000002
-210.59990299999998,-925.1329345,1737.4773255
-210.94572825,-935.1802675000001,1727.1318055
-211.24662775000002,-944.02742025,1715.40167225
-211.49905775,-952.2832945,1703.5686647500002
-211.8206825,-957.9970855,1691.478302
-212.493328,-966.0102845,1679.9597469999999
-213.6351815,-973.386856,1668.1851505000002
-214.72762699999998,-980.11781325,1656.6367495
-215.80519850000002,-985.8298795,1645.2023315000001
-216.74331274999997,-990.4845275,1633.997406
-217.5992435,-994.09150725,1622.97515875
-218.15578475,-996.785599,1612.1136475
-218.59659175000002,-998.9185789999999,1601.3024905000002
-219.0191305,-1000.62106325,1590.3551635
-219.51531575,-1002.2763522500001,1579.3366087499999
-220.15519725000001,-1003.83129875,1568.366089
-220.81087474999998,-1005.44535825,1557.798096
-221.59821349999999,-1006.996826,1547.6082155
-222.07963575000002,-1008.6198730000001,1538.0467835000002
-222.12770475000002,-1010.2412567499999,1529.0249939999999
-221.85789499999998,-1011.68425,1520.6034544999998
-220.899967,-1013.41879275,1513.03503425
-220.26850875,-1014.597183,1505.513458
-219.20372025,-1016.259552,1499.1358335
-218.36351025,-1017.6876829999999,1493.32876575
-217.56378925,-1019.1736450000001,1488.4476622500001
-216.86114875,-1020.77171325,1484.4657592500002
-216.16315450000002,-1022.4934847500001,1481.3188475
-215.48701075,-1024.3405914999998,1478.9713135
-214.723564,-1026.2376100000001,1477.2135315
-214.21002975000002,-1027.71578975,1476.077057
-213.46282200000002,-1029.3838807500001,1475.5560607500001
-211.64422199999998,-1031.8720552500001,1476.075378
-211.0499115,-1033.0400085,1476.9711915
-211.1284945,-1034.4528045000002,1479.2326967499998
-211.10309975,-1035.1024169999998,1480.107788
-211.15679174999997,-1035.4071657499999,1482.4191285000002
-211.525532,-1035.0082855,1484.7777405
-212.26958075,-1034.3218689999999,1487.4342042500002
-213.28182974999999,-1033.47120675,1490.45526125
-213.19371775000002,-1030.97448725,1493.072052
-214.23874275000003,-1029.7551117500002,1496.8433837500002
-215.6656225,-1027.898575,1500.44293225
-217.07916625000001,-1025.9257965,1504.474182
-218.60739525000002,-1023.6722717499999,1508.7253420000002
0.0,0.0,0.0
