S1-6 X osa,S1-6 Y osa,S1-6 Z osa
-34.07988275,2183.217163,1228.5647279999998
-34.60914225,2182.59063725,1227.6862795
-35.222154,2181.6402590000002,1226.760559
-35.719320249999996,2180.650696,1225.917572
-36.2979775,2180.100769,1225.02706925
-36.913341,2179.4256594999997,1223.7950744999998
-37.5636065,2178.20239275,1222.3313600000001
-28.649554799999997,2179.9417968,1217.3483641999999
-28.871986999999997,2179.3196776,1215.7403318000001
-29.683130799999997,2177.6265136,1214.0497558
-29.7868948,2177.8990236,1212.055493
-30.602904000000002,2175.8169434,1210.3450928
-31.3190204,2174.099414,1208.1765138
-31.4047184,2174.1126952,1205.7409668
-31.893697200000002,2173.0253906,1203.6950682000002
-32.453391200000006,2171.5955568,1201.5351564
-33.2780244,2168.9306153999996,1199.712573
-33.2628416,2168.9052246,1197.1722656
-33.61473719999999,2167.778467,1195.2893066000001
-34.405330400000004,2165.0207522,1193.2801026
-34.5046902,2164.8844725999998,1190.9125976
-35.6652286,2161.1978516,1189.4300292
-35.710016599999996,2161.7875486000003,1186.7723389999999
-36.495853600000004,2160.1354982,1184.7750244000001
-37.87703,2155.2442874,1183.4671876
-38.1189892,2156.3186038,1180.3015136
-38.791943,2153.6216308000003,1178.2687498
-39.4921732,2151.7308106,1175.7291748
-40.3372982,2149.8743163999998,1173.1092284000001
-41.040045,2148.0903810000004,1170.2035888000003
-41.7901602,2146.3817384000004,1167.5135742
-42.573598,2144.5979982,1164.6130862
-43.51019000000001,2142.5881836,1161.7895022
-44.33961359999999,2140.9767088,1158.8822268
-45.196376,2139.0108888,1155.7616946000003
-46.041403599999995,2137.24126,1152.5598632
-46.80331600000001,2135.281787,1149.106006
-47.609584399999996,2133.7757326,1145.605127
-48.3989474,2131.8331056,1141.9216552
-49.18925780000001,2130.0787109999997,1137.7252932
-49.963173999999995,2128.435254,1133.4181884000002
-50.8450866,2126.6649414,1128.768042
-51.7140492,2124.8909181999998,1123.8273924
-52.5759222,2123.0731933999996,1118.4696048
-53.491256,2121.327588,1112.7571533999999
-54.403966000000004,2119.7552246,1106.5831056
-55.3858746,2118.2548340000003,1100.1936766000003
-56.35828899999999,2116.8947754,1093.4888916
-57.2908362,2115.7012208,1086.4249998
-58.192779599999994,2114.8352050000003,1079.3245849999998
-59.077163999999996,2114.1864748,1071.832202
-60.084196799999994,2113.605713,1064.3573976
-61.029091599999994,2113.2805663999998,1056.408496
-62.21726600000001,2113.0615724,1048.3332275999999
-63.34383019999999,2113.1049804,1039.880359
-64.73006699999999,2113.4743654,1031.239746
-66.2070554,2114.0070797999997,1022.4440306
-67.8147428,2114.7243652,1013.1342774000001
-69.60606379999999,2115.671631,1003.5595458
-71.3032184,2117.0971192,993.8943601999999
-73.2685866,2119.0032228000005,983.780127
-75.3988718,2121.1057128,973.3753049999999
-77.83536760000001,2123.4124512,962.8317139999999
-80.4397704,2126.0720704000005,951.9164183999999
-83.4209182,2119.9542478000003,944.5699342
-86.24543220000001,2132.177539,929.570105
-76.1956496,2132.4554688,918.7433106000001
-92.56512000000001,2140.146582,907.3131467999999
-87.8479205,2137.88311775,892.998169
-91.26689625,2143.5751342500002,881.0637207500001
-101.178792,2151.67779525,884.162384
-104.5849115,2158.43933125,872.4999082500001
-107.8960475,2164.13378925,861.06336975
-111.28154924999998,2170.16546625,849.60592675
-114.68785100000001,2176.38476575,838.1431729999999
-118.16008199999999,2182.57428,826.7471467500001
-116.157782,2196.255322,816.5324705999999
-124.03060525,2196.72229,804.69790675
-126.464327,2203.87817375,794.3696135
-128.6675605,2211.1813965,784.8328247499999
-130.53767599999998,2218.579773,775.70771775
-132.16613,2226.2258300000003,767.1587065
-133.80569075000002,2233.4951782499998,759.163086
-135.413883,2240.41546625,751.4581909999999
-136.95997425000002,2246.72296125,744.38484175
