S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa
0.0,-49.05150599999999,-2.5676109999999994,-18.292784999999995,28.014935,84.903954,0.0,-6.840332000000217,-53.932128999999804,-15.226807000000008,-9.394530999999915,-2202.09375,0.0,-37.08734100000004,-29.65222200000005,-76.01043700000002,-53.123290999999995,-692.236267
-0.33629600000000437,-49.256111000000004,-3.500861999999998,-18.608199999999997,27.677104999999997,84.903954,-22.518798999999944,-30.416503999999804,-77.55371100000002,-41.32739300000003,-34.7448730000001,-2202.09375,6.761046999999962,-30.09173599999997,-20.377318999999943,-68.14044200000001,-45.26434300000005,-692.236267
-0.6354979999999983,-49.53235599999999,-4.113060000000004,-18.647323,27.627952999999998,84.903954,-46.59277299999985,-55.42163100000016,-101.37622099999999,-68.37695299999996,-61.25439499999993,-2202.09375,14.802857000000017,-21.90136700000005,-9.922668000000044,-59.05163600000003,-36.047240999999985,-692.236267
-1.0680770000000024,-48.08045200000001,-4.7206800000000015,-18.564780999999996,27.745548999999997,84.903954,-72.3803710000002,-76.35571299999992,-128.9125979999999,-97.3728030000002,-88.8073730000001,-2202.09375,24.660523000000012,-14.20105000000001,3.039307000000008,-48.31384300000002,-25.508117999999968,-692.236267
-1.284439000000006,-48.00476800000001,-5.351493000000005,-18.233810000000005,27.649502,84.903954,-98.89965799999982,-104.42968699999983,-156.48400900000001,-127.77954099999988,-118.26464799999985,-2202.09375,35.88397199999997,-2.8453369999999722,16.97558600000002,-35.64562999999998,-12.77856399999996,-692.236267
-1.3918150000000082,-48.041526000000005,-5.428320999999997,-18.126852999999997,27.833241,84.903954,-126.43408200000022,-135.16015599999992,-184.86682100000007,-159.785889,-148.47045900000012,-2202.09375,48.938355,10.940857000000051,32.98736599999995,-20.88970900000004,1.3818969999999808,-692.236267
-1.470993000000007,-48.09937199999999,-5.6067350000000005,-18.007155999999995,27.926747,84.903954,-155.44787599999995,-166.06103499999995,-214.51782200000002,-192.62231399999996,-179.9304199999999,-2202.09375,64.13354500000003,26.68963599999995,51.67999299999997,-3.9867550000000165,17.749451000000022,-692.236267
-1.4162290000000013,-48.05220700000001,-6.281661999999997,-18.032447000000005,27.913410999999996,84.903954,-184.66540499999996,-198.39965800000004,-245.95935099999997,-226.6114500000001,-212.4654539999999,-2202.09375,81.18463099999997,44.80004900000006,72.85034199999996,15.449829000000022,36.603027,-692.236267
-1.476073999999997,-48.279945,-6.921760000000006,-18.264517999999995,27.756638000000002,84.903954,-215.7727050000001,-231.76489300000003,-276.2148440000001,-261.986572,-246.184082,-2202.09375,100.90930200000003,65.60784899999999,95.59808399999997,37.77166799999998,58.14587400000005,-692.236267
-1.3214870000000047,-50.29673,-7.352432000000007,-18.812079999999995,27.37558,84.903954,-247.2048339999999,-271.14599599999997,-305.43945299999996,-297.66748000000007,-281.30602999999996,-2202.09375,123.06359899999995,90.63116500000001,120.87890600000003,62.619384999999966,82.43530299999998,-692.236267
-1.6116480000000024,-50.16866300000001,-8.291610000000006,-19.363349,27.05283,84.903954,-279.85437,-304.025269,-338.2707519999999,-334.80090300000006,-316.782471,-2202.09375,147.77038600000003,116.183899,149.64550799999995,90.599243,109.56170699999996,-692.236267
-2.662352999999996,-50.81748200000001,-9.536215999999996,-19.706169000000003,26.597352,84.903954,-313.34021000000007,-339.5539550000001,-372.1549070000001,-371.066284,-352.43212900000003,-2202.09375,175.998108,144.30987600000003,180.740051,120.55651899999998,140.204834,-692.236267
-4.281456000000006,-51.432197,-10.918425999999997,-19.568939,26.123036,84.903954,-348.18554700000004,-375.71875,-407.729736,-407.8320309999999,-388.4766850000001,-2202.09375,208.043457,175.72051999999996,214.20129399999996,153.556641,174.11248799999998,-692.236267
-5.208381000000003,-52.705344999999994,-11.833618000000001,-19.160269999999997,25.670128,84.903954,-384.75695799999994,-415.86560099999997,-444.431519,-443.379639,-423.2280270000001,-2202.09375,244.110413,212.285706,248.51879900000006,188.81280500000003,210.04235800000004,-692.236267
-6.678688000000008,-52.792609999999996,-13.112471999999997,-19.431647999999996,24.982028999999997,84.903954,-422.1552730000001,-446.2070309999999,-481.870361,-475.50317399999994,-457.60998500000005,-2202.09375,284.671387,248.39691200000004,283.605774,224.53338599999995,247.945923,-692.236267
-8.103042000000002,-53.913139,-14.320632000000003,-20.071334000000007,25.148282000000002,84.903954,-460.91162099999997,-479.5566409999999,-519.581177,-505.3082280000001,-493.48584000000005,-2202.09375,327.38781700000004,287.576721,318.369812,261.13952600000005,286.911072,-692.236267
