S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,Average,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,Average,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa,Average
-21.062637,-64.203941,-25.049301,-26.762069,15.34948,-21.265495,-23.83232717,-860.146484,-818.173828,-849.610107,-790.947754,-822.128784,-803.561035,-824.0946653,665.735169,647.2901,606.897644,624.159363,636.429016,674.196228,642.4512533
-22.366874,-65.050651,-26.378349,-27.415893,14.656876,-22.442382,-24.83287883,-897.962524,-853.228638,-875.184082,-822.269165,-854.283936,-843.652954,-857.7635498,689.243958,677.320374,631.996155,659.154114,666.933289,706.435242,671.8471887
-23.673416,-66.089607,-26.043747,84.903954,13.985085,84.903954,11.33103717,-935.079468,-888.075073,-904.189575,-2202.09375,-888.643555,-2202.09375,-1336.695862,711.322937,706.339172,658.435486,-692.236267,696.544495,-692.236267,231.3615927
-24.857383,-67.107215,-26.595245,-29.191597,12.943978,-24.978889,-26.6310585,-970.891968,-923.101318,-931.930908,-888.143799,-922.702026,-924.269897,-926.839986,731.88324,734.096619,684.775696,726.890442,724.938538,765.006897,727.9319053
-26.278801,-68.121147,-27.399826,84.903954,11.617928,84.903954,9.937677,-1006.283569,-958.13501,-959.077393,-2202.09375,-957.544922,-2202.09375,-1380.871399,751.232849,760.65509,710.649963,-692.236267,752.069153,-692.236267,265.0224202
-27.587295,-69.192802,-27.974128,-30.67939,10.670784,-27.436439,-28.69987833,-1040.955933,-993.098022,-987.079224,-959.168579,-991.947876,-1004.224365,-996.0789998,769.406555,786.017273,736.630676,790.820374,778.331238,815.655457,779.4769288
-28.753997,-70.177238,-28.337532,-33.084106,9.673912,-28.743309,-29.90371167,-1071.458008,-1028.1604,-1015.397827,-997.076782,-1027.539795,-1043.845703,-1030.579753,787.142761,810.061951,762.227722,823.737122,803.39093,837.805847,804.0610555
-29.904281,-71.123481,-28.668281,-32.952865,8.840569,-30.119216,-30.6545925,-1102.668091,-1063.131226,-1042.98584,-1033.288086,-1061.487915,-1083.25061,-1064.468628,803.686829,832.958801,789.101746,849.507263,827.536072,857.864441,826.7758587
-30.85868,-72.111579,-29.348503,-33.938415,7.970246,-31.306152,-31.59884717,-1132.834351,-1098.168701,-1071.280151,-1070.931274,-1095.842285,-1122.41394,-1098.57845,820.154724,854.640564,814.755921,875.195496,850.30304,875.984802,848.5057578
-31.885032,-73.101585,-29.885093,-33.944847,7.350739,-32.60366,-32.344913,-1161.974731,-1133.002441,-1100.137817,-1111.197388,-1129.996094,-1160.892822,-1132.866882,836.108582,875.214783,840.049866,899.742737,872.161194,892.783875,869.3435062
-33.280555,-74.272453,-30.345153,-34.996482,6.407822,-33.889373,-33.39603233,-1189.876465,-1167.757812,-1129.605469,-1150.658447,-1165.033081,-1198.851379,-1166.963776,851.046326,894.9245,865.078796,922.732849,892.371155,907.760559,888.9856975
-33.61647,-75.326561,-30.76699,-35.988456,5.352684,-35.187881,-34.25561233,-1217.43335,-1202.293579,-1160.126343,-1190.266663,-1200.175415,-1236.226135,-1201.086914,866.540955,913.255676,889.882752,943.565125,911.420715,921.263245,907.6547447
-34.308273,-76.265846,-31.262245,-37.363922,4.074204,-36.449615,-35.26261617,-1244.609009,-1236.805664,-1191.740784,-1230.069397,-1235.959412,-1273.041443,-1235.370952,882.909729,930.325623,914.217102,962.553772,928.92511,933.111755,925.3405152
-35.276359,-77.006782,-31.764572,-38.012306,3.153389,-37.716713,-36.1038905,-1271.643555,-1272.117615,-1224.475159,-1269.710266,-1270.821777,-1308.467407,-1269.539297,898.503723,946.048645,937.858826,979.626404,945.541443,943.798279,941.89622
-36.084022,-77.77349,-32.256462,-39.14756,2.215752,-39.334159,-37.0633235,-1298.855164,-1306.518677,-1258.997375,-1309.644409,-1305.410522,-1341.221558,-1303.441284,914.221985,961.06781,960.085877,994.496765,960.995911,952.9599,957.304708
-36.789993,-78.731056,-33.052818,-40.238678,1.38366,-40.594787,-38.00394533,-1326.19635,-1340.339111,-1294.845947,-1349.298096,-1340.101868,-1373.529541,-1337.385152,929.819153,974.494812,981.162293,1007.339905,975.039368,961.304627,971.526693
-37.562072,-79.725395,-33.709098,-41.291923,0.475739,-41.892303,-38.950842,-1353.525146,-1374.165283,-1330.813171,-1388.614319,-1374.645874,-1404.854309,-1371.103017,945.532532,987.261902,1001.446594,1018.249329,987.999939,968.822693,984.8854982
-38.311935,-80.701088,-34.43486,-42.406562,-0.417388,-42.973609,-39.87424033,-1381.086731,-1407.784058,-1367.635193,-1427.512634,-1408.916992,-1435.164062,-1404.683278,960.944885,999.045715,1020.188294,1027.427551,999.811096,976.075379,997.24882
-38.632888,-81.581184,-35.262023,-43.544029,-1.331146,-44.342384,-40.78227567,-1408.883545,-1441.254578,-1405.284546,-1465.869751,-1442.947754,-1464.930664,-1438.19514,976.487976,1009.76178,1037.169617,1034.846497,1010.481262,982.662293,1008.568238
-39.492645,-82.490165,-36.090919,-44.673851,-2.205162,-45.285926,-41.70644467,-1437.16748,-1474.47876,-1443.639404,-1503.433228,-1476.708313,-1493.590088,-1471.502879,992.095276,1019.474182,1052.438904,1040.672546,1020.040466,989.213074,1018.989075
-40.201637,-83.336174,-37.021408,-45.803001,-3.086822,-46.065025,-42.58567783,-1466.384155,-1507.578857,-1482.567749,-1539.890808,-1510.243896,-1521.805237,-1504.745117,1007.181091,1028.269226,1065.807434,1044.729187,1028.556336,995.74823,1028.381917
-40.901229,-84.148857,-38.007347,-47.197425,-4.06047,-46.435173,-43.45841683,-1496.547729,-1540.387024,-1521.931458,-1575.510986,-1543.497498,-1549.543213,-1537.902985,1021.886047,1036.05719,1077.177185,1047.602234,1036.036804,1001.906921,1036.77773
-41.623817,-84.869728,-39.024063,-48.271827,-4.9645,-47.182899,-44.32280567,-1527.759766,-1572.733582,-1561.464294,-1608.400024,-1576.483154,-1576.842163,-1570.613831,1036.087097,1043.175964,1086.547913,1048.464661,1042.608826,1008.118958,1044.167237
-42.34584,-85.94738,-40.00283,-49.249733,-5.90245,-47.803016,-45.2085415,-1560.078857,-1605.55603,-1600.980713,-1641.25946,-1609.102966,-1603.283325,-1603.376892,1049.556946,1049.19928,1093.915222,1048.957825,1048.267761,1013.907532,1050.634094
-43.133079,-86.99189,-41.459053,-50.180625,-6.848648,-48.990684,-46.26732983,-1593.466614,-1637.617981,-1641.191589,-1673.130615,-1641.554626,-1630.820374,-1636.296967,1062.131653,1054.429749,1099.504334,1048.576355,1053.115051,1020.030212,1056.297892
-44.620842,-87.802391,-41.895507,-51.426658,-7.626777,-49.77436,-47.19108917,-1628.236877,-1670.081909,-1680.147095,-1704.038605,-1673.022034,-1657.854675,-1668.896866,1073.528992,1058.740784,1102.924866,1047.51471,1057.378601,1026.070862,1061.026469
-44.488349,-88.670311,-42.835762,-52.256004,-8.76065,-50.402305,-47.90223017,-1662.975525,-1702.272491,-1719.260834,-1734.131592,-1705.87912,-1685.167603,-1701.614528,1083.963318,1062.284729,1104.65448,1046.012756,1060.363709,1032.029236,1064.884705
-45.487449,-89.889778,-43.93444,-53.371666,-9.680839,-51.166923,-48.92184917,-1699.215271,-1734.097748,-1758.109375,-1763.502136,-1737.889984,-1712.566925,-1734.23024,1093.095764,1065.132263,1104.291565,1044.042908,1062.819641,1037.511536,1067.815613
-46.487251,-90.782035,-44.990715,-53.963798,-10.570129,-52.095115,-49.8148405,-1736.151276,-1766.404907,-1796.451599,-1791.795807,-1769.815369,-1740.454285,-1766.845541,1100.594788,1067.097595,1102.214905,1042.017395,1064.530457,1043.524353,1069.996582
-47.506843,-91.616447,-45.986961,-54.196205,-11.398567,-52.546287,-50.541885,-1773.941925,-1798.708527,-1834.169708,-1819.468842,-1801.669403,-1769.08075,-1799.506526,1106.198059,1068.172546,1098.641541,1039.644104,1065.509705,1049.306336,1071.245382
-48.60453,-92.512123,-46.894691,-55.016273,-12.098777,-53.294929,-51.40355383,-1812.288055,-1830.973907,-1870.74646,-1846.631897,-1833.220642,-1798.450989,-1832.051992,1109.900818,1068.412048,1093.099182,1037.341858,1065.785217,1054.623108,1071.527039
-49.674263,-93.367439,-47.593528,-55.850608,-12.962104,-54.098487,-52.25773817,-1851.413544,-1863.177155,-1906.435974,-1873.56311,-1864.673676,-1828.775543,-1864.673167,1112.066834,1067.782532,1086.371399,1034.942078,1065.213074,1059.537293,1070.985535
-50.800224,-93.997139,-47.689064,-56.355293,-14.025215,-54.919075,-52.964335,-1890.73761,-1894.902679,-1942.613922,-1900.39621,-1896.248016,-1860.216187,-1897.519104,1112.178406,1066.45282,1078.418884,1032.497009,1063.962708,1064.046936,1069.592794
-51.939689,-94.967323,-49.597724,-57.026969,-14.809051,-55.207542,-53.92471633,-1930.254089,-1926.778503,-1973.850113,-1927.237762,-1928.214661,-1892.94458,-1929.879951,1110.384461,1064.100159,1068.392395,1029.912048,1061.84845,1067.485046,1067.020427
-53.142387,-95.652015,-50.688118,-57.675972,-14.865791,-56.52671,-54.75849883,-1969.810715,-1958.874207,-2005.888321,-1954.146561,-1961.086243,-1926.524963,-1962.721835,1106.538757,1060.956604,1057.736145,1027.269104,1059.439392,1069.816956,1063.62616
-54.324379,-96.509727,-51.558326,-58.312507,-15.859252,-56.244102,-55.46804883,-2009.198639,-1991.100006,-2037.130722,-1981.083405,-1992.599777,-1960.899704,-1995.335376,1100.65863,1057.017273,1046.628845,1024.235046,1055.994568,1071.68927,1059.370605
