S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa
273.324936,277.207504,267.009857,313.37217699999997,315.889984,318.101944,-2.6002189999999246,58.14318900000012,6.834839000000102,45.446899999999914,-7.862303999999995,29.950196000000005,55.58166499999993,38.34655799999996,0.16223199999990356,4.1843260000000555,12.217772999999852,53.20483399999989
286.121506,289.222915,274.62515199999996,325.302948,328.551819,330.524154,-3.0184320000000753,58.06970300000012,13.178466999999955,46.8044440000001,-6.6485589999999775,29.997192999999925,57.28759799999989,41.72729499999991,-0.6398930000000291,7.0739750000000186,13.639525999999933,55.60803199999987
299.068268,301.356003,291.606216,337.340393,341.13951099999997,343.007934,-3.668822999999975,57.72668500000009,8.291504000000032,47.83886800000005,-5.706543000000011,29.84228600000006,58.93762199999992,44.91308600000002,4.0437010000000555,9.804321000000073,15.008178999999927,57.818481999999904
312.00167799999997,313.735138,303.80278,349.588104,353.85684200000003,355.659546,-4.527464999999893,57.125,9.138427999999976,48.368652999999995,-5.226196000000073,29.255004999999983,60.468505999999934,47.86975099999995,5.663452000000007,12.388793999999962,16.318970000000036,59.91845699999999
324.71408099999996,326.42208800000003,312.802048,362.15333499999997,366.537231,368.362915,-5.586180999999897,56.24170000000004,14.09387199999992,48.291138000000046,-5.324339999999893,28.166259999999966,62.000244000000066,50.72106899999994,5.24646000000007,14.950072999999975,17.59191899999996,62.00500499999998
337.325104,339.451889,325.61866699999996,375.067856,378.824005,381.28655200000003,-6.891845000000103,55.40356500000007,13.885009999999966,47.63061599999992,-6.1724850000000515,26.413819000000103,63.51159699999994,53.90136699999994,7.196776999999884,17.560913000000028,19.082398000000012,64.13610799999992
349.532104,352.917145,338.17559800000004,388.019264,390.864815,394.156814,-8.17541499999993,54.04895099999999,13.668946000000005,46.64868200000001,-7.295532000000094,24.165406000000075,65.35803199999987,56.88268999999991,9.338500999999951,20.72558600000002,20.72509799999989,66.45715300000006
361.300247,366.29675299999997,350.502029,401.258804,402.509163,406.845573,-9.625244000000066,53.00964399999998,13.563720999999987,45.02295000000004,-8.77160600000002,21.582276000000093,67.41589399999998,60.65222199999994,11.928222999999889,23.566283999999996,22.707030999999915,69.10034199999996
372.603927,379.57714799999997,362.41274999999996,414.138893,413.791519,419.205902,-10.910278000000062,51.65148999999997,13.375,43.26574699999992,-10.478393000000096,18.786376999999902,70.0216069999999,64.41821299999992,14.994263000000046,27.068970000000036,25.329467999999906,72.09765599999992
383.452987,392.377121,373.899093,426.61692,424.660003,431.020988,-12.303711000000021,50.1964109999999,13.014038000000028,41.30896000000007,-12.201659999999947,15.970459000000119,73.14050299999985,68.51415999999995,18.42883299999994,30.90026899999998,28.356444999999894,75.47180200000003
393.952995,404.48643500000003,385.023056,438.499451,435.250595,442.256985,-13.763915999999881,48.63574300000005,12.287720000000036,39.35168500000009,-13.817992999999888,13.239990999999918,76.56311000000005,72.71423299999992,22.06311000000005,34.92334000000005,31.994995000000017,79.14013699999987
403.885361,415.7351,395.73544300000003,449.742046,444.835346,452.733555,-15.174682000000075,47.015259000000015,11.590821000000005,37.45471199999997,-16.102904999999964,10.872802999999976,80.13366700000006,76.90026899999998,25.929687999999942,39.22497599999997,35.448363999999856,83.20935099999997
413.250679,426.120132,406.022072,460.314731,454.901134,462.516998,-16.529052000000092,45.501342999999906,10.441407000000027,35.56530799999996,-17.707885000000033,8.65307699999994,83.82018999999991,81.02514700000006,29.52258299999994,43.58496100000002,39.60253899999998,87.40576199999987
422.129082,435.806991,415.981277,470.39635499999997,464.34845,471.698513,-17.978759000000082,44.00207599999999,9.041748000000098,33.54028399999993,-19.65295399999991,6.679200000000037,87.47582999999986,84.84362799999985,33.08850099999995,47.78027299999985,43.86694299999999,91.71716300000003
430.655662,444.998737,425.596145,480.044096,473.284694,480.387043,-19.44702099999995,42.343262000000095,7.202393000000029,31.33081100000004,-22.06933600000002,4.682618000000048,91.11413599999992,88.3885499999999,36.28002900000001,51.84033199999999,47.843505999999934,95.93688999999995
438.885643,453.957416,434.855247,489.366383,482.151848,488.812071,-20.917723999999907,40.55590899999993,5.266114000000016,28.874512000000095,-24.314575000000104,2.5339360000000397,94.698486,91.64587400000005,39.48962400000005,55.65466300000003,52.04235799999992,99.96227999999996
446.733627,462.852741,443.801407,498.550292,490.249761,496.940666,-22.518553999999995,38.660889,3.325074000000086,25.977172999999993,-27.376097999999956,0.05566399999997884,98.17846699999996,94.74096699999996,42.80896000000007,59.24548299999992,55.846923999999944,103.80139199999985
454.236446,471.789203,452.555637,507.637313,498.176469,504.887245,-24.296141999999918,36.430176000000074,0.7183840000000146,22.604980999999952,-30.56311000000005,-2.901732999999922,101.68347199999994,97.71350099999995,45.583740000000034,62.7238769999999,59.71081499999991,107.52001999999993
461.480381,480.857668,460.94725,516.614749,505.477201,512.654141,-26.120971000000054,33.56958000000009,-1.5173339999998916,18.722778999999946,-34.33410600000002,-6.451782000000094,105.011841,100.40966800000001,48.91589399999998,66.18420399999991,63.31701699999985,111.0676269999999
468.042847,489.824686,469.040684,525.251947,512.41231,520.147645,-29.147339000000102,30.648194000000103,-4.103026999999884,14.215453999999909,-38.404907000000094,-10.516235000000052,108.10302699999988,103.59594700000002,52.148926000000074,69.54162599999995,66.897827,114.61376999999993
