S1 X osa,S1 Y osa,S1 Z osa,S2 X osa,S2 Y osa,S2 Z osa,S3 X osa,S3 Y osa,S3 Z osa,S4 X osa,S4 Y osa,S4 Z osa,S5 X osa,S5 Y osa,S5 Z osa,S6 X osa,S6 Y osa,S6 Z osa
273.324936,-2.6002189999999246,55.58166499999993,277.207504,58.14318900000012,38.34655799999996,267.009857,6.834839000000102,0.16223199999990356,313.37217699999997,45.446899999999914,4.1843260000000555,315.889984,-7.862303999999995,12.217772999999852,318.101944,29.950196000000005,53.20483399999989
286.121506,-3.0184320000000753,57.28759799999989,289.222915,58.06970300000012,41.72729499999991,274.62515199999996,13.178466999999955,-0.6398930000000291,325.302948,46.8044440000001,7.0739750000000186,328.551819,-6.6485589999999775,13.639525999999933,330.524154,29.997192999999925,55.60803199999987
299.068268,-3.668822999999975,58.93762199999992,301.356003,57.72668500000009,44.91308600000002,291.606216,8.291504000000032,4.0437010000000555,337.340393,47.83886800000005,9.804321000000073,341.13951099999997,-5.706543000000011,15.008178999999927,343.007934,29.84228600000006,57.818481999999904
312.00167799999997,-4.527464999999893,60.468505999999934,313.735138,57.125,47.86975099999995,303.80278,9.138427999999976,5.663452000000007,349.588104,48.368652999999995,12.388793999999962,353.85684200000003,-5.226196000000073,16.318970000000036,355.659546,29.255004999999983,59.91845699999999
324.71408099999996,-5.586180999999897,62.000244000000066,326.42208800000003,56.24170000000004,50.72106899999994,312.802048,14.09387199999992,5.24646000000007,362.15333499999997,48.291138000000046,14.950072999999975,366.537231,-5.324339999999893,17.59191899999996,368.362915,28.166259999999966,62.00500499999998
337.325104,-6.891845000000103,63.51159699999994,339.451889,55.40356500000007,53.90136699999994,325.61866699999996,13.885009999999966,7.196776999999884,375.067856,47.63061599999992,17.560913000000028,378.824005,-6.1724850000000515,19.082398000000012,381.28655200000003,26.413819000000103,64.13610799999992
349.532104,-8.17541499999993,65.35803199999987,352.917145,54.04895099999999,56.88268999999991,338.17559800000004,13.668946000000005,9.338500999999951,388.019264,46.64868200000001,20.72558600000002,390.864815,-7.295532000000094,20.72509799999989,394.156814,24.165406000000075,66.45715300000006
361.300247,-9.625244000000066,67.41589399999998,366.29675299999997,53.00964399999998,60.65222199999994,350.502029,13.563720999999987,11.928222999999889,401.258804,45.02295000000004,23.566283999999996,402.509163,-8.77160600000002,22.707030999999915,406.845573,21.582276000000093,69.10034199999996
372.603927,-10.910278000000062,70.0216069999999,379.57714799999997,51.65148999999997,64.41821299999992,362.41274999999996,13.375,14.994263000000046,414.138893,43.26574699999992,27.068970000000036,413.791519,-10.478393000000096,25.329467999999906,419.205902,18.786376999999902,72.09765599999992
383.452987,-12.303711000000021,73.14050299999985,392.377121,50.1964109999999,68.51415999999995,373.899093,13.014038000000028,18.42883299999994,426.61692,41.30896000000007,30.90026899999998,424.660003,-12.201659999999947,28.356444999999894,431.020988,15.970459000000119,75.47180200000003
393.952995,-13.763915999999881,76.56311000000005,404.48643500000003,48.63574300000005,72.71423299999992,385.023056,12.287720000000036,22.06311000000005,438.499451,39.35168500000009,34.92334000000005,435.250595,-13.817992999999888,31.994995000000017,442.256985,13.239990999999918,79.14013699999987
403.885361,-15.174682000000075,80.13366700000006,415.7351,47.015259000000015,76.90026899999998,395.73544300000003,11.590821000000005,25.929687999999942,449.742046,37.45471199999997,39.22497599999997,444.835346,-16.102904999999964,35.448363999999856,452.733555,10.872802999999976,83.20935099999997
413.250679,-16.529052000000092,83.82018999999991,426.120132,45.501342999999906,81.02514700000006,406.022072,10.441407000000027,29.52258299999994,460.314731,35.56530799999996,43.58496100000002,454.901134,-17.707885000000033,39.60253899999998,462.516998,8.65307699999994,87.40576199999987
422.129082,-17.978759000000082,87.47582999999986,435.806991,44.00207599999999,84.84362799999985,415.981277,9.041748000000098,33.08850099999995,470.39635499999997,33.54028399999993,47.78027299999985,464.34845,-19.65295399999991,43.86694299999999,471.698513,6.679200000000037,91.71716300000003
430.655662,-19.44702099999995,91.11413599999992,444.998737,42.343262000000095,88.3885499999999,425.596145,7.202393000000029,36.28002900000001,480.044096,31.33081100000004,51.84033199999999,473.284694,-22.06933600000002,47.843505999999934,480.387043,4.682618000000048,95.93688999999995
438.885643,-20.917723999999907,94.698486,453.957416,40.55590899999993,91.64587400000005,434.855247,5.266114000000016,39.48962400000005,489.366383,28.874512000000095,55.65466300000003,482.151848,-24.314575000000104,52.04235799999992,488.812071,2.5339360000000397,99.96227999999996
446.733627,-22.518553999999995,98.17846699999996,462.852741,38.660889,94.74096699999996,443.801407,3.325074000000086,42.80896000000007,498.550292,25.977172999999993,59.24548299999992,490.249761,-27.376097999999956,55.846923999999944,496.940666,0.05566399999997884,103.80139199999985
454.236446,-24.296141999999918,101.68347199999994,471.789203,36.430176000000074,97.71350099999995,452.555637,0.7183840000000146,45.583740000000034,507.637313,22.604980999999952,62.7238769999999,498.176469,-30.56311000000005,59.71081499999991,504.887245,-2.901732999999922,107.52001999999993
461.480381,-26.120971000000054,105.011841,480.857668,33.56958000000009,100.40966800000001,460.94725,-1.5173339999998916,48.91589399999998,516.614749,18.722778999999946,66.18420399999991,505.477201,-34.33410600000002,63.31701699999985,512.654141,-6.451782000000094,111.0676269999999
468.042847,-29.147339000000102,108.10302699999988,489.824686,30.648194000000103,103.59594700000002,469.040684,-4.103026999999884,52.148926000000074,525.251947,14.215453999999909,69.54162599999995,512.41231,-38.404907000000094,66.897827,520.147645,-10.516235000000052,114.61376999999993
474.561443,-31.54675300000008,111.56140099999993,498.334454,26.492432000000008,106.28027299999985,477.015493,-7.294433000000026,55.259888000000046,533.027437,8.384888000000046,72.03320299999996,518.945404,-42.74194299999999,70.4464109999999,527.271171,-15.064697000000024,118.07922400000007
480.627693,-34.33557100000007,114.76232899999991,506.739715,22.728027999999995,109.54382299999997,484.306486,-10.247069999999894,58.56652800000006,540.840488,3.222778999999946,75.48840300000006,524.873916,-47.203490999999985,74.15576199999987,533.961807,-19.803343999999925,121.67614800000001
