Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,0,-6.76153,-54.5159,70.2151,-99.1488,1926.54,797.402
338,0,-8.11485,-52.4136,73.1874,-97.828,1886.77,833.389
339,0,-8.98371,-51.0509,78.6852,-97.9206,1850.23,871.033
340,0,-9.50262,-50.0933,82.1221,-96.3536,1811.85,910.808
341,0,-6.90665,-48.8356,84.8833,-94.4845,1773.88,950.775
342,0,-0.479114,-56.0034,86.7252,-94.0423,1732.94,991.757
343,0,5.44976,-58.796,88.5616,-90.3393,1693.52,1030.61
344,0,9.93509,-63.2676,85.0275,-88.6818,1653.85,1069.11
345,0,16.6222,-67.4033,85.0829,-85.5999,1613.13,1106.29
346,0,22.395,-71.8906,84.3257,-82.7705,1573.18,1142.04
347,0,28.2294,-76.8612,82.2259,-79.791,1532.31,1176.25
348,0,34.2454,-79.9739,81.739,-76.1775,1494.14,1208.67
349,0,40.2416,-83.691,80.0747,-72.6108,1455.22,1239.88
350,0,48.3702,-87.0925,79.103,-67.539,1415.67,1269.55
351,0,51.1511,-88.3349,72.8107,-62.0486,1376.73,1298.2
352,0,58.9695,-96.3608,71.7194,-61.6781,1339.51,1324.24
353,0,64.3369,-98.402,70.9865,-57.8433,1304.45,1351.71
354,0,66.1167,-98.3004,64.2872,-52.1577,1267.86,1376.79
355,0,76.4712,-105.15,64.3356,-50.1623,1232.33,1400.13
356,0,78.5008,-104.253,57.5298,-44.27,1197,1423.2
357,0,88.8531,-111.127,57.2057,-42.0365,1162.32,1444.47
358,0,91.4023,-109.167,49.9938,-35.9403,1128.26,1465.39
