Trajectories,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
,,Teniska_loptica:Sfera1,,,Teniska_loptica:Sfera2,,,Teniska_loptica:Sfera3,,,Teniska_loptica:Sfera4,,,Teniska_loptica:Sfera5,,,Teniska_loptica:Sfera6,,
36,0,,,,-1474.066895,664.332825,49.757629,-1417.807007,670.889038,82.899307,-1436.618896,668.615784,71.787056,-1411.453491,671.184448,85.965263,-1463.4021,664.075867,55.466225
37,0,,,,,,,-1411.570679,671.196167,85.980499,-1444.783081,666.355164,66.631508,-1436.589844,668.607666,71.784668,-1463.433594,664.061768,55.462715
38,0,-1484.262451,600.554932,70.313782,-1474.091064,664.104065,49.479271,-1411.557129,671.162231,85.962318,-1444.765625,666.361633,66.631638,-1436.601563,668.615845,71.78862,-1463.42981,664.062012,55.46104
39,0,-1474.418579,592.970642,80.673912,-1474.03186,664.399048,49.830452,-1411.483398,671.167236,85.978851,-1444.815186,666.364563,66.635468,-1436.633423,668.602783,71.780975,-1463.430176,664.061951,55.461227
40,0,-1484.200928,600.506409,70.336853,-1474.276367,664.367432,49.79295,-1411.538574,671.171814,85.987938,-1444.80188,666.354919,66.631767,-1436.575684,668.614136,71.796021,-1463.433228,664.03833,55.455719
41,0,-1484.214844,600.490967,70.381287,-1473.921143,664.37323,49.782871,-1411.504761,671.16925,85.988556,-1444.776489,666.364807,66.632828,-1436.568237,668.627258,71.80574,-1463.407715,664.07196,55.463856
42,0,-1483.806519,600.379761,70.554794,-1474.042603,664.460571,49.852455,-1411.554077,671.18158,85.999702,-1444.761108,666.389587,66.636688,-1436.594238,668.631714,71.805428,-1463.441162,664.058228,55.461403
43,0,-1484.02002,600.408936,70.539223,-1473.941772,664.410156,49.821907,-1411.587036,671.201965,86.012474,-1444.774048,666.386719,66.633911,-1436.538574,668.623535,71.800667,-1463.389526,664.078064,55.463047
44,0,-1476.43396,599.116821,77.148918,-1473.997437,664.244141,49.622849,-1411.52002,671.19751,86.009705,-1444.741211,666.376526,66.626724,-1436.547852,668.614807,71.795128,-1463.436768,664.059021,55.460438
45,0,-1484.071777,600.460999,70.538414,-1474.073608,664.297241,49.673107,-1411.653687,671.194336,86.018486,-1444.777832,666.357422,66.630562,-1436.610352,668.634216,71.808655,-1463.412231,664.068787,55.461662
46,0,-1484.117676,600.531921,70.768219,-1474.11438,664.406067,49.828041,-1417.926514,670.820618,82.870956,-1444.752808,666.361328,66.629898,-1436.513672,668.604187,71.787643,-1463.417603,664.066772,55.461613
47,0,-1484.079346,600.441895,70.595612,-1474.155029,664.309204,49.685474,-1411.618042,671.172974,86.009865,-1444.772339,666.366577,66.633171,-1436.597778,668.630371,71.800034,-1463.426636,664.063416,55.461342
48,0,-1473.516968,588.448181,84.903397,-1473.971069,664.277039,49.654564,-1417.97876,670.869812,82.893837,-1444.778198,666.359863,66.631432,-1436.644165,668.590698,71.778084,-1463.380981,664.057434,55.457005
49,0,-1484.442871,600.679382,70.381157,-1474.088013,664.284058,49.634693,-1417.819092,670.859009,82.886215,-1444.808838,666.352234,66.631363,-1436.613159,668.599304,71.785927,-1463.432739,664.0625,55.463142
50,0,,,,-1474.123657,664.130615,49.510887,-1417.914551,670.890503,82.90181,-1444.816162,666.375549,66.639107,-1436.664185,668.611755,71.788406,-1463.422852,664.065552,55.462467
51,0,-1471.26123,598.281372,81.178337,-1474.057983,664.411499,49.840233,-1411.50061,671.153137,85.948776,-1444.82251,666.346863,66.630753,-1436.586548,668.612854,71.791321,-1463.412964,664.068787,55.461979
52,0,-1476.783691,599.327332,77.137932,-1474.057495,664.166443,49.568962,-1411.445068,671.151794,85.937897,-1444.759521,666.382935,66.631172,-1436.578613,668.615723,71.795212,-1463.414063,664.068298,55.461884
53,0,-1476.638184,599.208923,77.181595,-1474.068848,664.44165,49.867207,-1411.474243,671.204956,85.956772,-1444.759766,666.360596,66.630089,-1436.603394,668.62915,71.80304,-1463.39502,664.075989,55.462944
54,0,,,,-1474.110229,664.300232,49.684605,-1411.468628,671.203857,85.96244,-1444.78125,666.371582,66.635513,,,,-1463.426147,664.063416,55.461102
55,0,-1476.460571,599.181091,77.236061,-1474.146851,664.187561,49.55191,-1411.362183,671.198792,85.959969,-1444.733521,666.374634,66.625366,-1418.078125,670.801941,82.870026,-1463.309448,664.078552,55.448742
56,0,-1473.414795,588.230408,85.033699,-1474.014526,664.415771,49.843353,-1411.499634,671.173767,85.972542,-1444.732056,666.358582,66.627609,-1417.773315,670.883728,82.89637,-1463.354248,664.0448,55.450047
57,0,-1481.967407,594.221619,75.169876,-1474.096313,664.4505,49.865166,-1426.08313,666.128113,75.308411,-1444.76416,666.358093,66.629951,-1418.070679,670.813843,82.870346,-1463.345825,664.050598,55.452061
58,0,,,,-1473.950806,664.356445,49.774742,-1405.492798,670.831787,88.850647,-1444.744629,666.388306,66.636047,-1436.409424,668.642029,71.756798,-1463.29834,664.045654,55.447193
59,0,-1474.489014,592.91394,80.940933,-1474.089722,664.435791,49.832386,-1405.544434,670.818176,88.893913,-1444.796631,666.36499,66.633957,-1436.484497,668.649048,71.753365,-1463.43103,664.064148,55.464542
60,0,-1474.853271,593.158142,81.459961,-1474.135864,664.296631,49.658939,-1411.597168,671.163757,85.98278,-1444.78064,666.354919,66.629875,-1417.903442,670.837952,82.884506,-1463.428589,664.064453,55.463844
61,0,-1474.80835,593.061218,81.518745,-1474.016846,664.270508,49.648373,-1411.503174,671.217957,85.961182,-1444.733765,666.350586,66.625206,-1417.877319,670.840332,82.878899,-1463.430054,664.062012,55.461189
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,0,-122.87056,1280.543335,1164.503784,,,,-123.676979,1224.25415,1135.916016,,,,-74.73423,1255.47168,1133.330933,-102.744919,1298.631836,1118.357788
76,0,-108.894455,1277.757324,1167.548584,,,,-110.663223,1223.859863,1136.553711,,,,-61.738979,1255.251587,1135.004028,-87.392921,1302.121094,1120.132568
77,0,-95.381699,1276.517578,1171.102417,,,,-97.595291,1223.457764,1137.746216,,,,-48.51519,1254.983765,1137.271118,-71.902817,1303.810547,1121.927856
78,0,-81.629463,1274.261108,1175.297485,-106.03006,1284.013916,1117.525024,-84.945839,1223.796265,1139.798096,-50.375126,1280.399048,1106.741699,-35.035213,1254.857178,1139.963867,,,
79,0,-67.87809,1272.292236,1180.043579,-92.581467,1283.536621,1121.582153,-72.544067,1224.781616,1142.328735,,,,-21.879158,1254.362915,1143.289673,,,
80,0,-54.483913,1270.739502,1185.349731,-79.836365,1286.213257,1129.212158,-59.70636,1225.094849,1145.852295,-37.905842,1271.767334,1105.889893,-9.02617,1253.847778,1147.555542,-32.67807,1304.318726,1144.101929
81,0,-41.658058,1269.304321,1191.161377,-66.51358,1288.227173,1136.86438,-47.310184,1225.071899,1149.952148,-24.836151,1272.919312,1112.201904,3.574621,1253.226318,1152.84436,-19.397856,1304.169434,1151.228271
82,0,-29.476498,1267.890503,1197.491821,-53.884583,1288.571899,1143.308228,-35.876831,1223.75,1155.30896,-11.77446,1273.762207,1119.108765,15.898759,1252.490112,1159.104614,-6.517402,1303.610352,1158.717773
83,0,-17.729017,1266.533691,1204.459961,-41.359058,1288.491333,1150.026855,-23.625874,1225.195068,1160.631836,1.140431,1274.210205,1126.657471,27.92024,1251.700562,1166.302979,6.078432,1302.99231,1166.924927
84,0,-6.135524,1265.522949,1212.442871,-28.928776,1288.484375,1157.661255,-12.068411,1225.072266,1166.980713,13.800209,1274.33252,1134.871704,39.717064,1250.609253,1174.340332,19.007904,1302.943237,1176.515869
85,0,4.907597,1264.117676,1220.642578,-16.683388,1288.20166,1165.863525,-1.531955,1222.500732,1175.05481,26.325087,1274.030029,1143.616211,51.206474,1249.29895,1183.182739,30.743347,1301.248901,1185.359619
86,0,15.580689,1262.589355,1229.451782,-4.625418,1287.726563,1174.603027,9.369706,1221.870483,1182.946045,38.658489,1273.281494,1153.009644,62.468048,1247.739624,1192.807617,42.452122,1299.609619,1195.013428
87,0,25.789032,1260.787476,1238.785522,7.245206,1286.740601,1183.705444,20.946947,1223.16748,1190.7052,50.858906,1272.028809,1163.019287,73.266563,1245.57605,1203.061279,53.993935,1297.665894,1205.320435
88,0,35.465084,1258.709961,1248.472778,18.924673,1285.428589,1193.17334,31.259012,1221.461548,1199.760498,62.793636,1270.174683,1173.449097,83.60791,1242.953369,1214.141724,65.232674,1295.355469,1216.142456
89,0,44.325848,1256.435181,1258.374634,,,,41.064583,1219.27063,1209.078613,74.495491,1267.731934,1184.390381,93.335342,1239.928955,1225.763306,75.866508,1292.580322,1227.326172
90,0,52.325661,1253.717529,1268.263672,,,,50.195736,1216.911499,1218.676025,,,,102.237198,1236.329346,1237.479248,85.906952,1289.332397,1238.723022
91,0,59.675552,1250.820435,1278.209595,52.32235,1280.930908,1223.112061,58.924885,1214.160645,1228.321289,96.33149,1261.450562,1206.779297,110.395233,1232.400024,1249.358887,95.142563,1285.656616,1250.203857
92,0,66.230019,1247.67688,1288.145386,62.068199,1277.397461,1232.083252,66.924202,1211.216431,1237.62854,106.403725,1257.630615,1218.106689,117.838005,1228.123779,1261.289551,103.67701,1281.653442,1261.816284
93,0,72.152229,1244.118286,1297.880005,71.289284,1274.355957,1241.813354,74.371483,1208.138306,1247.227417,115.87455,1253.776367,1229.768799,124.549416,1223.553101,1273.184937,111.57135,1277.319946,1273.608521
94,0,77.650299,1240.548828,1307.835693,79.994247,1271.329956,1252.019531,81.156013,1204.794922,1257.082153,124.613571,1249.77771,1241.623535,130.547256,1218.780273,1285.157471,118.943405,1272.83667,1285.702759
95,0,82.781204,1237.076172,1318.017944,88.119881,1268.44165,1262.807495,87.237312,1201.775391,1267.224487,132.52652,1245.615479,1253.752808,135.796173,1214.061523,1297.221924,125.842613,1268.451172,1298.097534
96,0,87.45195,1233.776611,1328.595459,95.427704,1265.5,1274.09314,92.666771,1198.801514,1277.73938,139.533096,1241.501953,1266.14502,140.464462,1209.389648,1309.402222,132.02063,1263.989746,1310.553589
97,0,91.476967,1230.049194,1339.452271,101.856857,1262.554321,1285.838867,97.2687,1195.810303,1288.334473,145.615326,1237.572021,1278.743408,144.465439,1204.867065,1321.559692,137.388367,1259.514893,1323.155151
98,0,94.902588,1226.331909,1350.510254,107.289284,1259.611572,1297.759644,101.220543,1192.669556,1299.087769,150.752701,1233.689331,1291.344727,147.678802,1200.285156,1333.626709,141.768921,1254.99939,1335.838867
99,0,97.550514,1222.544067,1361.521973,111.777756,1256.546143,1309.669556,104.516167,1189.920654,1309.627075,154.942703,1229.827515,1303.755981,150.257217,1195.92749,1345.615601,145.411667,1251.113892,1348.638794
100,0,99.331802,1218.820679,1372.379272,115.409637,1253.715454,1321.410034,107.243065,1187.228271,1320.09436,158.281815,1226.150757,1316.018066,152.05513,1191.607544,1357.283691,147.719315,1246.141724,1360.952271
101,0,100.451355,1215.208862,1382.775146,117.870735,1249.689453,1332.372681,109.179535,1184.30249,1330.414063,160.864319,1222.54126,1327.984985,153.087097,1187.505005,1368.645752,149.498505,1242.037964,1373.075806
102,0,100.871887,1212.243042,1392.761353,120.297272,1247.046631,1343.18103,110.634331,1182.118042,1340.156982,162.865906,1218.712036,1339.156494,153.371124,1183.795532,1379.763062,150.707367,1238.516602,1384.973022
103,0,100.787102,1210.10376,1402.182617,122.287598,1244.630249,1353.427979,111.404633,1179.928467,1349.578613,164.440384,1215.44397,1350.442993,152.876709,1180.365601,1390.521362,151.17247,1235.01709,1395.927856
104,0,99.978294,1207.904663,1410.706055,123.896263,1242.484619,1363.012817,111.702797,1177.977539,1358.67041,165.462982,1212.339966,1361.376709,151.822754,1177.447266,1400.840454,151.117783,1232.019287,1406.428589
105,0,98.89415,1206.725098,1418.991943,,,,111.598343,1176.467773,1367.266846,165.958405,1209.413208,1371.544434,150.281815,1174.951294,1410.686035,150.642563,1229.400513,1416.219849
106,0,97.470619,1205.752441,1426.665771,125.792641,1239.200195,1380.576294,110.916161,1175.009277,1375.460693,165.942368,1206.908447,1381.212769,148.314713,1172.831909,1419.835327,149.760452,1227.276123,1425.440918
107,0,95.783012,1205.290283,1433.829346,126.047043,1238.117432,1388.469116,109.953751,1173.973877,1382.998291,165.467102,1204.785889,1390.143188,146.132278,1171.329834,1428.46167,148.538544,1225.595337,1433.998657
108,0,93.86467,1205.339478,1440.400146,126.002998,1237.457764,1395.826172,108.916176,1174.368286,1389.831177,164.63147,1203.137085,1398.557495,143.596603,1170.252441,1436.396973,147.049118,1224.39502,1441.835327
109,0,91.816002,1205.675903,1446.207275,125.605804,1237.13501,1402.594604,107.85508,1175.459106,1396.400391,163.428879,1201.82019,1406.246094,140.796097,1169.72998,1443.750366,145.205124,1223.751953,1449.056274
110,0,89.383675,1206.7229,1451.601685,124.920059,1237.282715,1408.72937,105.499977,1173.719238,1402.643433,161.941849,1201.08252,1413.378662,137.754242,1169.674072,1450.470825,143.149979,1223.595093,1455.587158
111,0,86.557983,1207.81311,1456.143066,123.991112,1237.846558,1414.289917,103.356163,1174.534546,1407.902222,160.100235,1200.74939,1419.832397,134.46022,1170.163452,1456.601196,140.835327,1223.93042,1461.479858
112,0,84.01265,1209.849121,1460.575562,122.776413,1238.907837,1419.440796,101.063782,1175.610352,1412.82251,158.015869,1200.905884,1425.768799,131.002945,1171.093018,1462.149536,138.33316,1224.729858,1466.862915
113,0,81.4562,1212.453491,1464.510254,121.365433,1240.35022,1424.04248,98.603004,1176.971558,1417.324707,155.769577,1201.543701,1431.200806,127.432716,1172.54248,1467.177368,135.676865,1226.029663,1471.764648
114,0,78.888222,1215.530396,1467.880737,119.783768,1242.233643,1428.122803,95.964539,1178.925537,1421.357788,153.261032,1202.662598,1436.125,123.693657,1174.589966,1471.730591,132.843857,1227.786987,1476.125488
115,0,76.701561,1219.131836,1470.697754,117.667145,1243.650879,1431.369995,92.960373,1181.341064,1424.969727,150.583359,1204.315552,1440.541626,119.785332,1177.072632,1475.782227,129.858643,1230.078735,1480.052612
116,0,72.978432,1222.422485,1473.172485,115.941925,1247.005737,1434.852051,89.958702,1183.950195,1428.086792,147.709595,1206.433594,1444.496948,115.760452,1180.072632,1479.352539,126.724991,1232.924194,1483.483521
117,0,69.613419,1226.796387,1475.303589,113.931488,1250.323364,1437.674927,86.749252,1187.365967,1430.877075,144.625717,1209.041504,1448.031982,111.619865,1183.633301,1482.517578,123.290543,1235.926514,1486.204224
118,0,66.370575,1231.480713,1476.890381,111.692558,1253.776733,1439.901978,86.398537,1198.508179,1431.419678,141.637405,1212.233032,1451.199707,107.326424,1187.570801,1485.170898,120.210663,1240.210083,1488.902954
119,0,62.821262,1236.388672,1478.022827,109.325027,1257.695068,1441.758545,81.01387,1197.909912,1434.191895,138.218109,1215.600952,1453.792603,102.889915,1191.937866,1487.450317,116.92292,1244.416138,1491.016113
120,0,59.195396,1241.810669,1478.645264,106.96936,1262.020264,1443.321289,77.51178,1202.731323,1435.86377,134.847641,1219.566895,1455.992798,98.536217,1196.79834,1489.36145,113.855865,1249.049683,1492.891235
121,0,55.934902,1247.700439,1479.205688,104.603218,1266.981567,1444.320679,74.076408,1208.608765,1436.750122,131.372269,1223.883057,1457.769043,94.101814,1202.072998,1490.772949,110.435211,1253.762085,1494.245972
122,0,52.92382,1253.834229,1479.406982,101.99015,1272.100342,1444.877441,70.265381,1213.67334,1437.648682,128.683212,1229.197144,1459.52124,89.780121,1207.711304,1491.755615,106.608833,1259.012695,1494.789429
123,0,49.547447,1260.533813,1479.343872,100.855934,1279.842651,1445.577393,66.580902,1219.877808,1438.00708,124.218674,1232.873169,1460.633179,85.382721,1213.670288,1492.403809,103.401649,1264.706299,1495.352417
124,0,46.419518,1267.38916,1478.894531,,,,62.748306,1225.956543,1438.074829,120.664536,1238.458252,1461.198486,80.876831,1219.921875,1492.647217,99.863602,1270.379272,1495.506714
125,0,43.167057,1274.616455,1478.254883,,,,59.132286,1233.408569,1437.577637,116.749458,1243.999756,1461.249146,76.388718,1226.545288,1492.596558,96.649689,1276.624878,1495.454712
126,0,39.80648,1282.286499,1477.454102,90.737175,1295.039673,1444.671997,55.12669,1240.010254,1437.191162,113.608971,1250.337158,1461.610596,71.919853,1233.431396,1492.173096,92.794754,1282.927246,1494.822632
127,0,37.059395,1289.904541,1476.284058,,,,51.205624,1247.455322,1436.396973,109.882385,1256.923828,1460.936523,67.462402,1240.619385,1491.489136,89.747978,1289.37085,1494.345093
128,0,33.984249,1298.068604,1474.936646,,,,47.36277,1254.972656,1435.456787,105.619942,1262.951782,1459.885132,63.191483,1248.111694,1490.433105,86.287338,1296.466797,1493.123657
129,0,31.016211,1306.413818,1473.420898,,,,43.622757,1263.52124,1433.997681,101.872406,1269.686401,1458.859619,59.003738,1255.872192,1489.163818,83.107841,1303.605835,1491.884888
130,0,28.26116,1314.924316,1471.697998,56.867096,1302.195801,1422.749146,,,,98.202957,1276.61084,1457.432007,54.869431,1263.689697,1487.581665,80.155998,1310.895874,1490.41333
131,0,25.64526,1323.540527,1469.898682,78.284813,1329.779541,1438.331421,36.102722,1280.174316,1430.534424,94.658012,1283.545288,1455.712646,50.851803,1271.617065,1485.654907,77.323799,1318.119751,1488.627686
132,0,23.220959,1332.2323,1467.828247,76.249611,1336.910767,1436.298828,,,,91.091965,1290.470581,1453.616577,46.946815,1279.599976,1483.491333,74.769218,1325.42334,1486.725342
133,0,21.077932,1340.867798,1465.610962,74.363815,1344.026611,1434.134644,,,,87.642036,1297.314697,1451.24646,43.202744,1287.536987,1481.12793,72.308907,1332.504883,1484.508545
134,0,19.100454,1349.47168,1463.407227,72.744339,1350.983643,1431.869873,25.694218,1305.234619,1423.396729,84.368858,1304.132202,1448.668579,39.595032,1295.323975,1478.49939,70.20137,1339.25647,1482.214478
135,0,17.376534,1357.866455,1461.068481,71.266052,1357.948975,1429.535278,22.445616,1314.004639,1420.415771,81.228355,1310.779907,1445.880493,36.251251,1302.905518,1475.568359,68.352867,1345.926514,1479.919556
136,0,15.809241,1366.102417,1458.596802,69.845253,1364.820068,1427.11853,19.665955,1322.833984,1418.300171,78.124741,1317.331177,1442.851074,33.034492,1310.307983,1472.416504,66.400688,1352.380737,1477.382813
137,0,14.289473,1374.040894,1456.09082,68.488869,1371.720947,1424.573975,16.701241,1330.665405,1415.439209,75.319519,1323.863525,1439.560181,29.964756,1317.589233,1468.986816,64.500931,1358.676514,1474.670532
138,0,12.47582,1381.695313,1453.556152,67.019569,1378.560913,1421.746704,13.243114,1337.556641,1412.043579,72.763817,1330.304321,1435.96106,27.144156,1324.669312,1465.249634,62.680431,1364.787354,1471.706055
139,0,10.865527,1389.137817,1450.589966,65.51059,1385.350098,1418.661987,10.900676,1345.849487,1408.417847,70.084557,1336.793335,1431.953613,24.403076,1331.4823,1461.225708,60.870453,1370.716431,1468.344849
140,0,9.501314,1396.374634,1447.441895,63.873047,1391.962646,1415.22876,8.494357,1354.083496,1404.495483,67.304291,1343.046997,1427.47583,21.710793,1338.195435,1456.965088,58.991035,1376.430786,1464.613281
141,0,8.001812,1403.303833,1444.107178,62.241016,1398.45813,1411.563965,6.024345,1362.072144,1400.069092,64.64743,1349.29834,1422.794922,19.097765,1344.640259,1452.282471,57.163033,1382.084106,1460.619751
142,0,6.460198,1410.030151,1440.563843,60.594856,1404.859497,1407.75061,3.67274,1369.948364,1395.59314,62.017784,1355.429077,1417.746338,16.507421,1350.909546,1447.258911,55.345032,1387.471191,1456.376709
143,0,4.847014,1416.450684,1436.890137,58.838398,1411.230713,1403.766724,1.309815,1377.969482,1391.176758,59.435802,1361.521851,1412.40332,13.998167,1356.902344,1442.026123,53.502838,1392.761963,1451.922485
144,0,3.221626,1422.679932,1432.898071,57.069851,1417.472412,1399.497314,-0.98171,1385.569458,1386.202148,56.903133,1367.605103,1406.945923,11.51124,1362.870605,1436.507568,51.604805,1397.873901,1447.267944
145,0,1.585125,1428.756958,1428.625854,55.3531,1423.607666,1395.022217,-3.076101,1392.683838,1380.815674,54.431393,1373.583496,1401.132202,8.733793,1369.543335,1430.764771,49.445438,1403.550537,1442.190186
146,0,-0.029075,1434.709351,1424.13855,53.619663,1429.653809,1390.302979,-5.032338,1399.839355,1375.531128,51.998974,1379.470825,1395.19104,6.297954,1375.337769,1424.786499,47.575352,1408.450439,1436.978638
147,0,-1.738185,1440.429688,1419.359863,51.863602,1435.565796,1385.383545,-7.104278,1406.769043,1369.914063,49.692806,1385.329834,1389.029419,3.942008,1380.984009,1418.583252,45.572971,1413.459351,1431.664917
148,0,-3.354489,1445.926025,1414.409302,50.147327,1441.279419,1380.18042,-9.094504,1413.487183,1364.15979,47.465317,1390.988892,1382.640381,1.743178,1386.435913,1412.091797,43.696285,1418.191162,1425.951538
149,0,-5.039372,1451.136841,1409.140747,47.854355,1446.559326,1374.783447,-9.731233,1420.074097,1357.592407,45.31839,1396.664063,1375.999023,-0.398576,1391.650513,1405.364868,41.819637,1422.849243,1420.080566
150,0,-6.678303,1456.05127,1403.659668,46.314369,1452.161133,1369.133057,-11.376713,1426.057007,1351.134766,43.271416,1402.103882,1369.057129,-2.401394,1396.670166,1398.374634,40.030312,1427.305298,1413.849487
151,0,-8.416662,1460.873047,1398.117798,44.61684,1457.450806,1363.141357,-13.378087,1432.20105,1344.834595,41.282185,1407.448608,1361.79126,-4.360472,1401.563721,1391.136353,38.310959,1431.52124,1407.230225
152,0,-9.986206,1465.425415,1392.116455,42.833679,1462.585449,1356.826782,-15.193069,1438.000854,1338.125854,39.090435,1412.641479,1354.191528,-6.308589,1406.156494,1383.594116,36.585152,1435.630493,1400.369873
153,0,-11.662303,1469.764282,1385.784912,40.943832,1467.47937,1350.126221,-17.280418,1443.856567,1331.129395,36.773315,1417.632202,1346.169922,-8.49485,1410.743042,1375.682373,34.786976,1439.542114,1393.035278
154,0,-13.504089,1473.919922,1379.074951,38.918831,1472.297607,1343.174194,-19.568424,1449.532593,1323.817993,34.493698,1422.584595,1337.815308,-10.724416,1415.255249,1367.424072,32.765625,1443.225586,1385.333984
155,0,-15.532356,1477.833984,1372.085938,36.760792,1477.165649,1335.998779,-21.633377,1455.664063,1316.564209,32.081367,1427.658936,1329.184692,-13.029606,1419.501831,1358.611694,30.664539,1447.039063,1377.425537
156,0,-17.675955,1481.715454,1364.972778,34.389378,1482.079102,1328.574585,-23.639122,1462.813843,1309.495605,29.626307,1432.741821,1319.987549,-15.344316,1423.79187,1349.369751,28.425529,1450.610229,1369.073242
157,0,-19.94755,1485.478394,1357.353882,31.914927,1487.120239,1320.761597,-26.493258,1466.770874,1300.0896,27.161058,1438.089966,1310.55957,-17.758806,1428.170776,1339.811768,26.048523,1454.245728,1360.387085
158,0,-22.250513,1489.328735,1349.336914,29.310616,1492.249634,1312.462402,-28.936237,1473.062256,1291.838135,24.361948,1443.538452,1300.566528,-20.191219,1432.67749,1329.821411,23.853996,1458.038818,1350.945679
159,0,-24.606419,1493.325562,1340.838135,26.592405,1497.428955,1303.641357,-31.671633,1479.074463,1283.016235,21.562645,1449.013062,1290.241943,-22.846762,1437.366333,1319.509033,21.594772,1461.934326,1340.979736
160,0,-26.942572,1497.516602,1331.922607,23.764391,1502.67749,1294.271606,-34.639668,1485.073608,1273.661621,18.42981,1454.595825,1279.341064,-25.716595,1442.190674,1308.813599,19.201977,1465.984131,1330.388184
161,0,-29.351175,1501.895508,1322.46228,20.858686,1507.857666,1284.263184,-37.605446,1491.241333,1263.918701,14.975455,1460.102539,1267.926147,-28.825977,1447.32019,1297.691528,16.646021,1470.079224,1319.284546
162,0,-31.89307,1506.376831,1312.419434,17.857584,1513.055908,1273.773438,-40.804787,1497.683105,1253.817261,11.490175,1465.769775,1255.991943,-32.262211,1452.666382,1286.045898,13.945173,1474.072144,1307.492554
163,0,-34.604702,1511.015869,1301.774414,14.739682,1518.324341,1262.970947,-44.177639,1504.174438,1242.988159,7.646025,1471.578369,1243.506958,-35.917274,1458.075562,1273.699585,10.810888,1478.425781,1295.291504
164,0,-37.422215,1515.872681,1290.53418,11.59847,1523.861206,1251.216187,-47.71944,1511.013672,1231.769531,3.798405,1477.619629,1230.475708,-39.680714,1463.829834,1260.778687,7.642648,1482.902954,1282.485229
165,0,-40.324894,1520.955078,1278.605469,8.467249,1529.753784,1239.294922,-53.447041,1519.546265,1219.257324,0.095054,1484.197266,1216.956055,-43.595776,1469.942383,1247.368652,4.24301,1487.793579,1269.124756
166,0,-43.255531,1526.346069,1266.188965,5.18931,1535.873901,1226.605957,-56.949589,1526.8302,1206.886353,-3.830869,1490.979736,1202.763672,-47.446194,1476.424194,1233.244019,0.834307,1492.932617,1255.074097
