Trajectories,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
,,Teniska_loptica:Sfera1,,,Teniska_loptica:Sfera2,,,Teniska_loptica:Sfera3,,,Teniska_loptica:Sfera4,,,Teniska_loptica:Sfera5,,,Teniska_loptica:Sfera6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,0,-1482.091675,594.305969,74.816917,-1473.827026,664.195374,49.473137,-1411.552734,671.213074,85.996666,-1455.447021,666.364563,60.69025,-1463.423584,664.066895,55.464729,-1480.82312,614.537048,66.304245
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,0,,,,-1474.061768,664.294739,49.722599,,,,-1436.622803,668.617676,71.78698,-1411.579224,671.194702,85.991783,-1463.410156,664.069763,55.461964
33,0,,,,-1474.183105,664.339905,49.754578,,,,-1436.57251,668.623047,71.790512,-1411.450684,671.17627,85.953239,-1463.422729,664.064758,55.461384
34,0,,,,-1474.083984,664.099365,49.469414,-1417.9375,670.862,82.889664,-1436.540039,668.621948,71.791878,-1411.477173,671.185181,85.95578,-1463.421509,664.065369,55.461506
35,0,,,,-1474.106323,664.179749,49.548901,,,,-1436.606689,668.635193,71.797462,-1411.545654,671.18158,85.966377,-1463.347778,664.049194,55.45295
