Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
170,0,-16.2559,89.098,67.2669,-34.0183,2122.14,1001.38
171,0,-15.8978,88.8656,68.5332,-36.2341,2123.89,991.667
172,0,-15.2645,88.243,68.4775,-37.6679,2125.63,981.909
173,0,-13.9996,86.61,68.8985,-39.0503,2127.59,973.037
174,0,-12.8467,84.8307,68.1064,-40.0692,2129.83,964.03
175,0,-12.8398,83.0642,68.7618,-42.3938,2132.32,955.367
176,0,-11.9811,80.8746,68.2645,-43.7812,2134.88,947.211
177,0,-11.0407,79.583,68.0842,-45.6075,2138.06,938.248
178,0,-11.0201,78.7568,67.6458,-47.4642,2140.99,929.924
179,0,-10.3798,77.1808,69.0274,-49.8243,2145,921.911
180,0,-7.16973,76.0004,70.2617,-51.431,2149.22,914.264
181,0,-6.78643,76.4424,70.9481,-53.8581,2153.62,904.624
182,0,-8.39893,78.4653,71.8288,-57.4566,2159.51,894.197
183,0,-3.75556,78.1446,73.9087,-59.9701,2164.99,887.226
184,0,-2.56058,78.4481,74.5615,-62.8818,2170.26,877.54
185,0,-0.866361,77.6549,75.4815,-65.8726,2176.56,869.041
186,0,0.762201,76.8783,75.6132,-68.6705,2182.5,860.644
187,0,2.05093,75.9569,76.1925,-71.6053,2189.24,852.613
188,0,2.70895,74.8703,76.6612,-74.4916,2196.18,844.705
189,0,3.28394,73.5816,77.1797,-77.2805,2203.51,837.114
190,0,4.18447,72.2089,77.3496,-80.0039,2211.11,829.62
191,0,4.95494,70.7391,77.7952,-82.8369,2219.06,822.467
192,0,5.94858,69.3051,77.8426,-85.8163,2226.91,815.241
193,0,6.39255,67.8656,78.1797,-89.067,2235.13,808.039
194,0,7.11253,68.2583,78.3079,-93.1732,2242.9,800.868
195,0,8.71901,66.5856,78.3689,-95.99,2251.15,794.538
196,0,9.99253,65.2688,78.0914,-98.7219,2259.22,788.201
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,0,-104.5,29.4639,-42.2416,-110.723,2441.37,691.62
237,0,-104.525,30.3131,-43.2069,-111.254,2435.82,690.486
238,0,-104.501,29.9756,-42.2907,-112.52,2429.32,690.001
239,0,-104.916,29.8768,-43.1374,-113.814,2421.63,689.305
240,0,-105.6,29.8824,-43.0313,-115.116,2412.76,688.742
241,0,-106.065,29.4662,-43.5487,-116.865,2402.91,688.353
242,0,-106.92,29.0826,-43.9363,-118.655,2392.22,687.907
243,0,-108.097,28.8058,-43.9231,-120.322,2379.86,687.855
244,0,-108.608,28.4703,-43.3857,-122.295,2365.7,688.5
245,0,-108.827,27.9,-42.6987,-124.156,2350.53,689.564
246,0,-111.473,26.3467,-43.6766,-126.002,2334.29,690.199
247,0,-112.253,25.5815,-43.2797,-128.251,2317.21,692.984
248,0,-113.982,24.9293,-43.594,-129.698,2298.2,695.052
249,0,-115.346,23.7596,-43.6765,-131.788,2276.99,698.145
250,0,-107.976,15.0583,-29.8653,-142.386,2253.45,707.478
251,0,-114.768,10.325,-33.46,-144.315,2228.56,709.493
252,0,-115.946,10.3386,-33.826,-145.897,2201.64,715.478
253,0,-122.898,22.1526,-43.9087,-138.8,2174.15,718.836
254,0,-126.594,21.3985,-46.3784,-139.851,2143.11,726.681
255,0,-129.351,23.07,-48.9591,-140.258,2107.58,738.099
256,0,-132.759,20.9075,-49.8477,-142.383,2074.08,750.791
257,0,-134.539,18.6608,-48.7029,-145.187,2040.03,767.973
258,0,-138.921,16.6527,-51.6438,-146.406,2001.89,786.089
259,0,-141.683,17.5333,-52.4799,-147.344,1963.18,807.484
260,0,-146.071,13.6572,-57.0301,-147.492,1923.25,833.474
261,0,-149.47,11.5919,-58.3584,-147.807,1884.62,860.933
262,0,-152.167,11.4161,-60.1246,-147.324,1846.84,891.487
263,0,-153.388,10.2394,-63.0997,-146.906,1809.48,925.054
264,0,-153.018,6.71564,-65.2055,-148.195,1774.9,960.98
265,0,-151.72,4.46078,-67.9078,-149.277,1739.81,998.513
266,0,-146.287,3.86588,-70.7977,-150.488,1705.67,1039.03
267,0,-138.381,3.9367,-73.1003,-152.642,1672.87,1081.12
268,0,-129.878,3.84492,-75.2587,-155.259,1639.21,1123.67
269,0,-121.22,3.84199,-76.854,-158.424,1604.99,1165.39
270,0,-112.159,3.77054,-78.482,-161.788,1570.17,1206.48
271,0,-103.431,3.95571,-78.6036,-165.378,1535.16,1245.35
272,0,-94.4302,4.29163,-79.0619,-169.217,1499.15,1283.45
273,0,-86.1422,4.24628,-79.1031,-173.143,1463.22,1319.74
274,0,-77.4732,3.71611,-78.8911,-177.136,1426.84,1354.44
275,0,-67.928,3.76457,-75.8348,-180.968,1390.74,1387.51
276,0,-60.5858,4.17368,-76.2944,-184.829,1353.18,1419.18
277,0,-52.4676,4.59636,-75.5386,-188.415,1315.51,1449
278,0,-44.0441,3.846,-74.1183,-192.797,1277.94,1477.68
279,0,-36.0376,3.66622,-72.1776,-196.18,1240.5,1504.65
280,0,-27.9096,3.50612,-70.2325,-199.484,1203.02,1529.64
281,0,-21.9862,-0.00587712,-65.0955,-201.108,1165.49,1554.37
282,0,-13.158,0.653433,-64.5483,-204.836,1128.54,1575.69
283,0,-3.5791,2.38985,-64.1383,-208.261,1091.63,1594.7
284,0,4.10014,2.39748,-60.6307,-209.574,1054.44,1613.87
285,0,11.9805,2.2849,-57.3579,-211.13,1017.65,1631.24
286,0,20.4934,1.23455,-55.867,-213.708,980.987,1647.7
287,0,27.2192,1.93817,-50.77,-212.748,946.607,1662.76
288,0,34.7447,1.60729,-47.3652,-213.246,911.446,1676.48
289,0,42.424,1.26792,-43.4482,-213.179,876.693,1688.65
290,0,49.7058,0.586552,-39.6087,-212.888,843.004,1700.12
291,0,56.6545,0.0575552,-35.6063,-212.132,809.84,1710.98
292,0,63.6931,-0.682591,-31.4065,-211.101,777.077,1721.02
293,0,70.7119,-1.53134,-27.0914,-209.95,744.945,1730.13
294,0,77.732,-1.93618,-22.3768,-208.435,713.489,1738.54
295,0,84.5928,-2.57726,-17.4213,-206.691,682.463,1746.38
296,0,91.0859,-2.86071,-12.3692,-204.703,651.73,1753.75
297,0,97.8858,-3.85282,-6.81477,-202.709,621.71,1760.56
298,0,104.058,-4.386,-1.74966,-200.962,591.891,1766.97
299,0,110.485,-5.35909,3.7648,-198.948,562.489,1772.95
300,0,116.43,-6.09088,9.70981,-197.203,533.092,1778.69
301,0,122.774,-7.10084,15.5919,-195.51,504.218,1783.82
302,0,128.754,-7.95144,22.3621,-193.558,475.499,1788.81
303,0,134.215,-8.96719,28.555,-192.575,446.119,1793.33
304,0,139.713,-10.4147,35.1442,-191.606,416.837,1797.55
305,0,144.689,-11.8952,41.9869,-190.869,387.022,1801.03
306,0,149.942,-13.2951,48.8494,-190.696,357.401,1804
307,0,156.284,-16.2197,54.5515,-190.097,326.865,1805.84
308,0,158.224,-14.6839,64.7055,-191.196,298.358,1808.55
309,0,163.385,-17.0411,72.1635,-191.825,267.604,1809.81
310,0,167.261,-18.3506,80.0284,-192.877,236.731,1810.14
311,0,170.679,-19.7185,88.6073,-194.62,205.394,1809.77
312,0,173.722,-22.0586,97.5462,-196.503,173.27,1808.33
313,0,176.386,-23.9723,106.593,-198.647,140.817,1805.78
