Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,0,8.45446,177.848,61.3355,-188.666,2343.41,753.547
209,0,6.40764,178.658,58.8267,-189.378,2344.97,747.888
210,0,9.04676,176.964,64.7714,-191.165,2353.44,744.194
211,0,9.38043,176.118,67.35,-192.387,2359.21,739.702
212,0,9.94738,176.002,68.729,-194.011,2364.18,735.32
213,0,10.982,175.194,70.9666,-195.329,2370.02,731.016
214,0,11.9608,174.967,72.12,-196.881,2375.2,726.724
215,0,12.7541,174.528,73.8593,-198.466,2380.48,722.695
216,0,13.9889,173.201,76.1967,-199.587,2386.47,718.7
217,0,14.6633,172.568,78.2849,-201.021,2392,715.111
218,0,15.6687,171.577,79.9622,-202.108,2397.43,711.364
219,0,16.6835,170.969,81.8091,-203.35,2402.87,707.915
220,0,17.7464,170.063,83.467,-204.318,2407.97,704.62
221,0,17.6838,169.733,86.2806,-205.866,2412.77,702.083
222,0,21.0115,165.918,88.3129,-204.23,2418.14,699.394
223,0,22.2162,164.76,90.0941,-204.537,2423.13,696.578
224,0,19.3776,167.221,92.3979,-207.406,2427.49,693.647
225,0,18.3686,165.637,93.0458,-206.326,2431.27,689.735
226,0,19.5052,165.662,93.8067,-206.7,2434.9,687.061
227,0,18.7713,165.989,95.9856,-207.621,2437.81,685.27
228,0,18.3074,165.61,98.3027,-208.211,2440.96,683.589
229,0,18.5336,164.109,100.965,-208.037,2443.87,682.205
230,0,18.9965,164.058,101.593,-208.175,2444.9,680.439
231,0,19.1339,163.637,102.71,-208.24,2445.94,678.805
232,0,19.319,163.339,103.258,-207.971,2446.12,677.046
233,0,19.1698,162.887,104.945,-207.963,2445.86,675.948
234,0,18.8966,162.54,106.182,-207.647,2444.88,674.734
235,0,18.6989,162.669,106.355,-207.477,2441.85,673.518
236,0,19.0226,162.334,108.147,-207.57,2438.54,673.102
237,0,19.7547,162.649,107.687,-206.948,2434.87,671.484
238,0,20.0598,162.666,108.315,-206.937,2428.84,671.401
239,0,20.2049,162.788,109.029,-206.74,2422.58,671.298
240,0,20.7216,163.237,108.269,-206.032,2415.08,670.876
241,0,20.8786,163.336,108.269,-205.306,2405.27,671.734
242,0,20.9987,164.669,106.158,-204.765,2393.79,671.655
243,0,21.1549,164.679,105.933,-203.918,2380.91,673.247
244,0,21.5963,166.023,103.457,-203.488,2364.86,674.911
