Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
270,0,97.2304,-5.90396,182.774,-84.303,2204.31,692.541
271,0,96.6003,-1.95989,180.992,-84.6689,2181.85,699.363
272,0,95.7914,1.8015,179.511,-85.0116,2158.18,707.449
273,0,92.0621,4.32225,176.526,-84.4512,2133.51,716.766
274,0,90.9637,8.51212,174.791,-84.6485,2106.89,727.925
275,0,91.2797,13.807,173.122,-84.8339,2079.17,740.723
276,0,91.0187,18.4879,171.045,-84.8723,2050.26,755.68
277,0,90.6837,23.6182,168.543,-84.9812,2020.33,772.644
278,0,90.3514,28.5612,165.877,-85.1823,1989.41,791.987
279,0,92.0768,36.1381,163.509,-86.6221,1957.53,813.583
280,0,90.4797,40.3036,159.779,-86.4987,1924.88,837.884
281,0,88.2405,43.6793,158.289,-87.6905,1890.93,865.921
282,0,85.6861,45.7795,158.122,-89.2268,1855.61,897.929
283,0,86.1372,46.6588,160.811,-91.4988,1818.72,934.373
284,0,83.7508,38.3545,164.64,-91.8198,1782.11,975.044
285,0,82.5344,27.3932,169.773,-92.5098,1743.38,1018.1
286,0,82.1206,12.9465,175.356,-93.3288,1703.35,1061.83
287,0,81.9043,0.462675,180.257,-94.5599,1663.55,1103.02
288,0,79.4565,-16.0338,185.187,-96.1485,1622.75,1142.02
289,0,77.4636,-31.9422,188.434,-97.5539,1581.91,1179.35
290,0,74.4922,-47.0616,189.834,-98.7528,1541.1,1214.4
291,0,70.806,-63.2043,190.103,-100.085,1500.33,1247.58
292,0,65.846,-80.278,188.558,-101.695,1460.24,1278.74
293,0,60.5021,-96.657,186.027,-103.28,1420.6,1308.02
294,0,54.3975,-113.01,181.023,-104.505,1381.27,1334.93
295,0,47.3822,-129.278,174.618,-105.886,1342.49,1360.19
296,0,39.4685,-147.086,165.244,-107.007,1304.77,1382.71
297,0,31.4463,-160.137,156.931,-108.273,1267.66,1405.49
298,0,22.3657,-174.205,144.901,-109.583,1231.85,1425.83
299,0,12.894,-185.618,132.16,-111.208,1196.55,1445.27
300,0,3.70302,-195.843,118.051,-112.502,1162.95,1463.73
301,0,-6.49005,-205.272,101.58,-113.803,1130.43,1481.12
302,0,-15.792,-211.538,86.1948,-114.762,1099.27,1497.85
303,0,-24.2898,-216.4,69.4137,-115.609,1068.88,1513.93
304,0,-33.282,-219.125,51.2191,-116.458,1039.45,1529.45
305,0,-42.1371,-219.429,32.7222,-117.755,1011.14,1544.57
306,0,-50.1378,-218.13,15.0097,-118.486,983.2,1559.87
307,0,-57.7998,-214.788,-2.08447,-119.402,955.527,1575.23
308,0,-63.5763,-209.916,-18.6422,-120.14,928.156,1590.55
309,0,-69.2573,-203.453,-34.1379,-120.977,901.121,1605.81
310,0,-74.242,-195.692,-48.9799,-121.653,874.033,1620.97
311,0,-78.4646,-186.334,-63.1337,-122.423,847.154,1636.43
312,0,-81.6607,-176.116,-76.0299,-123.155,819.902,1651.92
313,0,-84.2661,-165.018,-87.8965,-123.745,792.156,1667.38
314,0,-85.794,-153.19,-98.5041,-124.507,763.897,1682.84
315,0,-86.5669,-141.202,-107.774,-125.186,734.724,1697.88
316,0,-86.7271,-128.975,-116.068,-125.76,704.666,1712.45
317,0,-86.5773,-116.238,-123.104,-126.325,674.057,1726.5
318,0,-85.4171,-103.312,-129.082,-127.134,642.329,1739.96
319,0,-84.0626,-90.3902,-133.997,-127.976,609.3,1752.61
320,0,-81.64,-77.9415,-137.304,-129.224,575.546,1764.11
321,0,-80.0593,-65.1313,-140.277,-129.416,540.567,1774.46
322,0,-77.4396,-52.4031,-142.247,-130.309,504.644,1783.59
323,0,-74.1244,-39.9998,-143.131,-131.349,467.774,1791.39
324,0,-70.3029,-28.0127,-143.381,-132.35,430.063,1797.46
325,0,-66.4555,-16.3804,-142.614,-133.425,391.809,1801.67
326,0,-62.4066,-5.02936,-140.987,-134.479,352.894,1804.12
327,0,-58.0786,5.92793,-138.699,-135.426,313.368,1804.68
328,0,-53.5685,17.0394,-136.472,-136.602,274,1802.97
329,0,-48.6025,27.4876,-133.359,-137.888,234.148,1799.32
330,0,-43.7011,37.7146,-129.422,-138.91,194.573,1793.66
331,0,-38.4997,47.2284,-124.565,-140.291,155.326,1786.05
332,0,-33.2398,56.1636,-119.504,-141.593,116.436,1776.57
333,0,-28.071,64.6792,-113.945,-142.697,78.0344,1765.18
334,0,-22.6386,72.882,-107.937,-143.929,40.2763,1751.98
335,0,-17.1182,80.6448,-101.607,-145.197,3.26716,1737.07
336,0,-11.8183,87.8958,-94.4557,-146.234,-32.6866,1720.53
337,0,-5.88566,94.7748,-87.1335,-147.69,-67.5925,1702.41
338,0,-0.447043,101.065,-79.2233,-148.772,-101.486,1683.15
339,0,5.1741,106.792,-71.1999,-149.926,-134.246,1662.97
340,0,10.3244,111.805,-62.4646,-150.808,-166.08,1641.78
341,0,16.1113,116.452,-53.7551,-151.822,-196.672,1619.87
342,0,21.7059,120.473,-44.673,-152.733,-226.346,1597.31
343,0,27.2568,123.967,-35.5001,-153.533,-254.965,1574.46
344,0,32.9459,126.954,-25.7738,-154.456,-282.755,1551.26
345,0,38.1203,129.512,-15.7683,-155.385,-309.994,1528.02
346,0,43.4665,131.313,-5.35053,-156.176,-336.282,1504.68
347,0,48.4785,132.389,4.94983,-157.043,-362.662,1481.57
348,0,53.851,133.05,15.5975,-157.971,-388.482,1458.15
