Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
280,0,-0.498415,67.0482,60.8265,-219.302,1974.13,811.403
281,0,4.58467,65.0427,48.0364,-213.75,1926.49,841.875
282,0,-2.15569,70.0713,53.4685,-219.599,1884.67,870.108
283,0,-3.24156,69.0056,49.9666,-219.969,1842.27,904.966
284,0,-4.4807,66.5328,48.8573,-221.662,1800.88,942.894
285,0,-4.54026,59.2854,49.2975,-223.416,1758.84,986.963
286,0,-5.80798,50.6326,53.7262,-226.88,1718.85,1032.34
287,0,-76.0707,31.5319,2.83715,-232.269,1681.68,1083.56
288,0,-120.597,3.00319,-74.4187,-239.022,1644.2,1130.23
289,0,-120.334,-16.5027,-177.149,-243.98,1599.46,1178.05
290,0,-29.6729,-12.7104,-281.858,-250.568,1555.79,1226.24
291,0,-47.8314,-100.88,-74.9326,-312.957,1529.68,1239.56
292,0,132.951,-79.5317,53.708,-248.066,1436.97,1263.32
293,0,164.522,-124.247,44.3851,-250.229,1392.17,1307.14
294,0,150.415,-94.364,66.8638,-249.024,1364.56,1340.81
295,0,159.472,-105.313,70.1017,-250.341,1328.24,1378.78
296,0,115.414,-22.1563,63.2903,-252.76,1289.89,1417.13
297,0,122.691,-28.7284,72.074,-254.759,1251.07,1454.11
298,0,126.285,-38.1435,83.2283,-258.318,1212.41,1491.96
299,0,131.09,-45.7876,93.9405,-262.002,1173.73,1528.65
300,0,133.025,-52.2183,103.116,-266.773,1132.75,1564.95
301,0,75.3174,-12.5106,73.815,-272.524,1091.53,1597.49
302,0,76.567,-18.4113,82.7191,-278.189,1051.44,1628.96
303,0,187.989,-68.236,-11.8401,-289.31,1031.42,1605.69
304,0,201.136,-66.6092,-3.5659,-289.118,995.729,1639.56
305,0,216.539,-57.8238,1.41955,-292.628,961.601,1673.09
306,0,229.608,-50.5811,10.2476,-295.944,924.729,1706.42
307,0,242.191,-41.7547,20.0414,-300.554,886.155,1738.92
308,0,253.537,-29.1915,32.6103,-306.09,845.791,1770.31
309,0,263.933,-12.8714,46.5385,-313.819,804.222,1800.29
310,0,270.982,8.45212,64.1177,-321.884,760.744,1828.18
311,0,272.61,37.9608,84.5872,-330.58,716.257,1853.37
312,0,265.081,74.3069,110.566,-340.145,670.335,1876.21
313,0,244.134,117.803,138.198,-349.136,623.278,1896
314,0,195.015,147.502,180.668,-356.504,580.24,1911.43
315,0,133.278,195.774,208.185,-362.124,525.058,1928.29
316,0,60.0891,241.245,187.158,-374.771,481.602,1936.93
317,0,-36.974,242.703,192.125,-376.657,430.852,1946.55
318,0,-80.0761,245.262,156.68,-386.876,389.438,1950.14
319,0,-125.188,229.357,134.914,-390.904,345.057,1953.34
320,0,-151.14,212.092,115.108,-393.777,301.989,1955.02
321,0,-173.533,191.197,95.2895,-394.743,260.771,1955.15
322,0,-183.916,173.179,79.3755,-394.785,221.186,1954.65
323,0,-186.071,160.021,67.5344,-393.64,180.872,1954.85
324,0,-188.569,140.475,56.9618,-393.279,148.294,1952.09
325,0,-189.351,125.875,42.8535,-388.992,112.021,1952.37
326,0,-185.54,112.917,34.4218,-386.254,78.3546,1952.75
327,0,-180.413,100.335,26.5871,-383.206,45.7709,1953.83
328,0,-174.129,88.8708,19.5329,-380.357,13.5041,1956
329,0,-166.76,78.2647,12.952,-377.876,-18.6034,1959.08
330,0,-158.682,68.4998,7.1224,-376.178,-50.7282,1963.07
331,0,-146.549,62.444,3.13542,-376.63,-82.4132,1967.57
332,0,-140.744,50.385,-2.84692,-376.093,-116.42,1973.55
333,0,-131.36,41.8268,-6.90459,-377.674,-151.035,1978.79
334,0,-121.96,30.8375,-9.03996,-382.791,-186.57,1983.72
335,0,-110.708,25.9651,-13.9748,-385.169,-224.497,1988.93
336,0,-99.824,18.7152,-16.3449,-390.642,-263.504,1992.94
337,0,-89.2592,10.8942,-18.6326,-397.699,-303.749,1995.01
338,0,-78.4341,4.01801,-21.0731,-405.629,-345.991,1995.1
339,0,-67.5539,-2.34297,-23.1911,-413.986,-389.603,1992.63
340,0,-56.1749,-8.64847,-24.852,-422.998,-434.221,1987.81
341,0,-44.7766,-14.7925,-26.3583,-432.13,-479.617,1979.97
342,0,-33.2108,-20.7131,-27.1194,-441.111,-525.74,1969.32
343,0,-21.2615,-26.2683,-27.2005,-449.492,-571.566,1955.55
344,0,-9.60431,-31.4319,-27.613,-457.022,-617.779,1939.17
345,0,2.74802,-36.1381,-27.7658,-463.743,-663.457,1919.96
346,0,15.055,-40.9085,-27.5011,-469.122,-708.42,1897.87
347,0,27.0354,-45.4141,-27.1057,-473.453,-751.812,1874.13
348,0,38.7815,-50.1853,-26.7247,-476.602,-793.971,1848.62
349,0,51.5718,-53.8978,-25.5422,-478.108,-834.622,1821.36
350,0,64.1598,-57.4235,-24.0548,-478.168,-873.846,1793.53
351,0,76.858,-60.8633,-22.4978,-477.337,-911.237,1764.9
352,0,88.1003,-63.3059,-18.2579,-474.492,-948.462,1738.99
353,0,101.179,-66.9686,-17.7142,-473.114,-982.057,1709.62
354,0,114.624,-68.2476,-15.6139,-470.123,-1014.49,1681.88
355,0,123.205,-72.0595,-23.4726,-472.688,-1043.46,1656.7
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,

Trajectories
100
,,Teniska_loptica:Sfera1,,,Teniska_loptica:Sfera2,,,Teniska_loptica:Sfera3,,,Teniska_loptica:Sfera4,,,Teniska_loptica:Sfera5,,,Teniska_loptica:Sfera6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
280,0,,,,-267.283173,1950.116577,787.238220,-280.169037,1979.069946,819.265198,-284.702667,1933.937622,829.904114,-249.726532,1958.200195,862.046753,-233.236511,1916.692139,819.524902
281,0,,,,-268.005951,1907.054321,815.517090,,,,-289.158875,1902.346558,857.330200,-250.447296,1919.184448,889.484375,-234.604401,1871.609375,852.332031
282,0,-218.608246,1883.857422,869.150146,-269.652893,1863.207153,847.525818,-280.057709,1896.282227,875.942871,-287.024170,1850.237305,895.221680,-250.973160,1873.544800,922.892578,-238.674286,1832.731079,885.335266
283,0,-218.732025,1843.046875,903.765564,-271.065857,1820.519043,881.505371,-279.131348,1859.551147,907.645264,-288.945068,1810.201050,928.817017,-254.336777,1833.445801,957.839844,-241.712662,1790.732056,921.307129
284,0,-220.382278,1801.273926,941.908691,-271.462067,1780.078613,916.702393,-280.515076,1818.209351,943.222595,-292.614319,1769.060181,963.797546,-258.745239,1794.423828,993.586853,-244.504669,1748.968872,958.361267
285,0,-222.009689,1756.344604,987.305481,-269.918884,1739.003662,954.606506,-283.817078,1777.958252,983.072021,-295.701294,1726.565552,997.802185,-265.838684,1752.117188,1031.809814,-247.074554,1707.216064,995.823975
286,0,-224.814484,1716.823730,1033.366821,-268.156921,1701.170044,993.469055,-287.038849,1729.124268,1020.166016,-297.807953,1684.100952,1031.762451,-273.238953,1706.447510,1071.435913,-248.997284,1665.932251,1034.002319
287,0,-228.743896,1676.935669,1082.733643,-250.020416,1625.463013,1072.454346,-265.890411,1667.379883,1033.958252,-298.895386,1642.301025,1065.896362,-290.768311,1695.762329,1066.316406,-281.157715,1659.177979,1111.172974
