Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,0,31.356,1.79986,21.1898,-34.1283,1894.26,808.032
338,0,30.9945,0.619885,20.3889,-34.5875,1849.83,845.6
339,0,30.5495,-2.36382,19.5967,-36.1654,1802.23,886.772
340,0,33.2795,-4.29437,26.1835,-35.2441,1761.29,926.795
341,0,39.3958,-7.28435,27.6487,-35.9208,1717.24,966.061
342,0,51.7044,-14.6734,27.834,-36.4457,1671.12,1005.76
343,0,65.9279,-21.9043,27.4823,-36.6125,1626.17,1044.11
344,0,81.9977,-27.9545,27.5359,-35.7159,1585.39,1079.64
345,0,96.8045,-35.0509,26.4191,-34.8816,1545.19,1114.84
346,0,113.184,-41.1385,24.9808,-32.6522,1508.81,1148.93
347,0,132.851,-44.9628,18.5644,-34.3805,1476.85,1182.59
348,0,140.15,-54.6222,19.6867,-30.5043,1435.37,1220.62
349,0,154.887,-62.0053,15.2945,-29.2913,1401.3,1256.6
350,0,176.636,-102.628,-0.54898,-26.0467,1361.7,1299.5
351,0,183.33,-77.7964,2.99733,-26.1132,1336.08,1332.23
352,0,197.946,-83.6564,-4.45785,-24.4568,1302.66,1372.46
353,0,211.245,-89.7336,-14.5743,-23.418,1267.13,1412.41
354,0,224.599,-95.7536,-26.268,-22.3965,1230.24,1453.9
355,0,236.158,-101.583,-42.4291,-22.1267,1191.37,1494.38
356,0,246.58,-105.845,-62.8779,-22.0545,1150.19,1534.3
357,0,253.222,-108.233,-90.3143,-22.3907,1106.82,1572.44
358,0,253.78,-106.347,-130.714,-22.9539,1061.41,1609.58
