Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,0,94.7278,47.4839,61.56,11.162,2139.49,678.637
370,0,90.8364,48.1364,57.0187,14.0855,2093.47,703.868
371,0,86.9385,50.605,54.7568,15.8142,2049.96,732.819
372,0,83.4192,53.0381,53.9459,17.5998,2007.67,765.383
373,0,82.187,58.7103,56.4472,17.8049,1967.57,800.304
374,0,81.194,58.764,57.8379,20.2112,1928.93,837.681
375,0,81.2905,59.0882,61.4742,22.5292,1892.57,877.286
376,0,83.2744,58.9915,67.1842,24.7383,1858.68,918.606
377,0,86.4889,58.5585,74.9362,26.4275,1826.73,960.521
378,0,91.4495,60.0758,83.9537,25.8042,1796.67,1002.08
379,0,93.5898,60.5054,90.8245,26.8248,1764.22,1042.04
380,0,97.0329,61.51,97.732,26.5134,1731.87,1082.05
381,0,99.8179,60.5401,104.651,27.3578,1697.17,1121.23
382,0,104.671,58.747,113.76,26.8494,1663.69,1160.36
383,0,126.43,81.0607,106.375,18.3523,1623.15,1195.4
384,0,110.727,58.0051,130.452,26.0837,1594.68,1235.25
385,0,113.979,56.2918,138.616,26.0889,1558.58,1271.05
386,0,116.038,54.303,148.118,25.3433,1521.39,1305.96
387,0,118.878,50.9404,156.076,26.4425,1484.33,1339.41
388,0,122.583,46.9645,163.799,27.93,1446.55,1371.93
389,0,124.509,42.8219,171.833,29.165,1407.57,1402.9
390,0,122.692,37.5102,181.766,29.8373,1370.43,1431.55
391,0,126.066,35.0892,190.205,31.7658,1329.81,1459.32
392,0,128.307,27.744,199.508,33.3468,1290.16,1486.62
393,0,128.197,19.9777,208.705,35.6882,1250.07,1511.61
394,0,126.606,11.3968,218.285,37.9859,1209.52,1535.41
395,0,125.367,2.57703,227.457,40.811,1169.51,1557.3
396,0,125.419,-7.9344,236.984,43.8863,1130.41,1577.27
397,0,121.318,-20.9753,245.951,47.4113,1090.73,1595.96
398,0,116.387,-35.6192,254.015,51.4812,1051.53,1613.36
399,0,109.78,-51.159,261.543,55.9548,1012.62,1628.93
400,0,98.0662,-74.5909,266.909,60.2275,973.922,1643.18
401,0,83.5743,-98.8097,270.124,64.6847,935.573,1655.83
402,0,64.157,-126.828,270.585,69.7853,898.412,1667.33
403,0,40.4162,-156.381,264.511,74.5687,861.281,1677.6
404,0,8.95874,-188.36,250.285,79.4174,824.451,1686.41
405,0,-26.6931,-220.661,224.595,84.4455,788.642,1693.96
406,0,-64.4825,-248.036,187.313,89.6492,753.55,1700.55
407,0,-105.357,-263.182,142.813,94.6025,718.88,1706.17
408,0,-137.112,-269.567,90.7248,99.6731,685.461,1710.55
409,0,-160.872,-265.015,42.9805,104.59,652.54,1714.48
410,0,-177.149,-253.329,1.00532,109.287,620.221,1717.63
411,0,-186.297,-238.385,-34.4025,113.796,588.572,1720.22
412,0,-190.571,-221.814,-62.6707,117.927,557.311,1722
413,0,-191.838,-205.07,-84.8613,121.82,526.486,1723.45
414,0,-190.622,-188.8,-102.614,125.389,495.957,1724.34
415,0,-187.898,-173.187,-115.76,128.481,465.817,1724.59
416,0,-185.05,-157.895,-126.245,131.204,435.472,1724.59
417,0,-179.486,-146.729,-132.836,133.588,405.313,1723.68
418,0,-175.925,-133.533,-138.285,136.213,375.342,1722.81
419,0,-169.538,-123.615,-141.814,137.771,345.229,1721.28
420,0,-165.313,-112.15,-143.908,139.518,314.85,1719.53
421,0,-160.103,-100.716,-146.235,141.434,284.47,1717.34
422,0,-154.252,-92.4524,-145.986,142.325,253.664,1714.27
423,0,-148.341,-84.5267,-145.255,143.217,222.6,1710.73
424,0,-142.45,-77.0144,-144.038,143.76,191.11,1706.5
425,0,-136.901,-69.811,-142.09,144.243,159.065,1701.57
426,0,-131.244,-62.9825,-139.853,144.669,126.527,1695.93
427,0,-125.379,-56.1221,-137.118,144.988,93.4967,1689.83
428,0,-119.679,-49.8205,-134.08,145.334,59.6842,1682.64
429,0,-114.063,-43.8928,-130.695,145.657,25.2369,1674.5
430,0,-108.419,-38.4343,-127.089,146.181,-9.69652,1665.33
431,0,-102.884,-32.9457,-123.375,146.988,-45.3103,1655.15
432,0,-97.448,-27.5616,-119.255,148.018,-81.4725,1643.84
433,0,-91.761,-22.5338,-115.165,149.111,-117.982,1631.26
434,0,-86.2871,-17.9104,-110.891,150.454,-155.046,1617.32
435,0,-80.9358,-13.4652,-106.441,151.984,-192.498,1601.83
436,0,-75.2192,-9.42761,-101.454,153.931,-230.274,1585.07
437,0,-69.9258,-5.35629,-96.6739,156.069,-268.247,1567.04
438,0,-64.5738,-1.45797,-91.342,158.621,-306.267,1547.33
439,0,-59.2089,1.85683,-85.9885,161.265,-344.168,1526.2
440,0,-53.7228,5.19789,-80.82,164.291,-382.402,1503.71
441,0,-48.7264,8.29871,-75.495,167.782,-420.088,1479.58
442,0,-43.4653,11.2948,-70.1985,171.543,-457.817,1454.14
443,0,-38.3058,14.0814,-64.8404,175.412,-495.286,1427.29
444,0,-33.0071,17.1041,-59.4207,179.56,-532.598,1399.16
445,0,-27.5909,19.3708,-53.4752,183.873,-569.185,1369.73
446,0,-22.3981,21.8571,-47.7279,188.421,-605.533,1338.82
447,0,-17.2988,24.2933,-41.7988,193.426,-641.369,1306.39
448,0,-7.73972,21.9006,-33.5217,196.415,-676.731,1277.18
449,0,2.59465,8.51576,-2.55394,202.857,-704.116,1265.52
450,0,11.0567,-0.740138,-0.590358,189.141,-718.697,1257
451,0,3.63622,-7.26416,2.43655,185.022,-725.44,1256.65
452,0,-2.10537,-10.6797,1.01863,182.028,-735.208,1253.25
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,

Trajectories
100
,,Teniska_loptica:Sfera1,,,Teniska_loptica:Sfera2,,,Teniska_loptica:Sfera3,,,Teniska_loptica:Sfera4,,,Teniska_loptica:Sfera5,,,Teniska_loptica:Sfera6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
319,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,
