Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,0,81.2184,-54.3275,-2.29909,-111.027,2067.9,717.954
339,0,59.4369,-51.9324,11.7639,-107.84,2018.41,767.656
340,0,76.3673,-47.8208,6.93342,-104.27,1980.57,788.097
341,0,76.2071,-52.1766,13.089,-99.8947,1938.54,825.227
342,0,83.6141,-53.5018,16.3001,-95.9923,1898.36,858.261
343,0,92.6492,-48.3882,20.6713,-93.3466,1861.85,892.618
344,0,98.7802,-58.1582,27.1109,-88.2037,1821.4,931.678
345,0,108.629,-62.1218,31.0515,-83.8414,1787.03,967.497
346,0,118.217,-66.5085,33.7065,-80.0549,1750.54,1003.79
347,0,128.852,-70.1446,36.4237,-75.7391,1715.61,1039.21
348,0,139.166,-74.0815,39.4385,-72.3232,1680.66,1075.41
349,0,150.214,-78.0591,42.1306,-69.0189,1646.21,1111.15
350,0,160.839,-80.7056,45.218,-65.9282,1611.83,1147.01
351,0,172.261,-86.2961,46.7737,-63.6653,1578.35,1182.11
352,0,183.83,-89.0813,49.0023,-61.5887,1543.95,1218.25
353,0,194.431,-90.8512,53.0847,-60.0722,1508.9,1254.27
354,0,207.762,-92.0701,54.5449,-59.2816,1473.66,1289.1
355,0,219.104,-93.1341,57.4358,-58.6528,1437.01,1324.2
356,0,231.03,-93.3734,59.9759,-59.3273,1399.5,1358.37
357,0,243.85,-92.1889,61.8527,-60.5177,1361.12,1391.53
358,0,255.281,-71.7083,81.9117,-65.5726,1323.35,1424.12
359,0,271.521,-79.4565,65.7944,-64.7782,1281.49,1453.54
360,0,272.709,-48.8349,108.964,-70.202,1239.65,1483.3
361,0,300.686,-47.2823,73.1105,-69.4344,1197.61,1509.58
362,0,317.21,-10.2616,67.7787,-72.3167,1155.04,1534.71
363,0,313.901,65.6959,88.6855,-74.7051,1110.44,1558.14
364,0,283.163,169.878,81.2244,-76.7063,1066.22,1578.94
365,0,103.407,326.68,9.42167,-78.7202,1023.61,1597.12
366,0,-74.9953,327.446,-29.4947,-80.1197,979.604,1613.72
367,0,-160.539,283.185,-39.5411,-81.1084,935.545,1628.02
368,0,-192.805,248.993,-41.8401,-81.6124,892.186,1640.43
369,0,-206.703,222.45,-42.5639,-81.1616,849.629,1650.87
370,0,-212.711,200.103,-43.9801,-79.7239,807.985,1659.69
371,0,-212.779,183.364,-42.7324,-77.9605,767.332,1667.53
372,0,-210.723,168.104,-41.8299,-75.1273,727.8,1674.01
373,0,-207.366,153.762,-39.9684,-71.7971,689.85,1679.29
374,0,-201.957,142.209,-37.8465,-68.242,652.719,1684.17
375,0,-195.684,131.271,-36.1008,-64.0185,616.807,1688.8
376,0,-188.96,121.116,-34.1985,-59.7822,582.002,1693.18
377,0,-181.46,111.757,-31.7608,-55.678,548.117,1697.21
378,0,-174.446,101.665,-29.9223,-51.2681,515.079,1701.56
379,0,-166.443,92.6499,-27.8719,-46.8738,482.835,1706.17
380,0,-158.146,83.9448,-25.6595,-42.9155,450.965,1711.09
381,0,-149.788,75.7636,-23.945,-39.5241,418.646,1716.41
382,0,-141.222,67.6627,-22.2725,-36.5759,386.366,1722.02
383,0,-132.614,59.7998,-20.384,-34.6828,353.782,1727.61
384,0,-123.505,52.4504,-18.4962,-33.1266,320.317,1732.81
385,0,-114.282,44.8225,-16.8483,-32.4534,286.315,1738.52
386,0,-105.177,37.4193,-14.9595,-32.4664,251.276,1743.55
387,0,-95.9275,30.5545,-13.269,-33.5032,215.025,1747.77
388,0,-86.443,23.14,-11.2533,-35.4921,177.832,1751.06
389,0,-76.8346,16.2413,-10.0472,-37.5086,139.134,1753.24
390,0,-67.1703,9.73229,-8.65529,-40.006,99.11,1753.68
391,0,-57.5365,3.2871,-7.24051,-42.8544,58.0489,1752.28
