Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
220,0,138.62,163.968,-32.1755,-111.094,2208.64,869.444
221,0,138.227,164.963,-32.3685,-111.727,2211.44,865.371
222,0,137.692,166.019,-32.5486,-112.526,2214.53,861.248
223,0,137.409,167.089,-32.2817,-113.449,2218.01,856.97
224,0,137.47,167.599,-31.8452,-114.438,2221.82,852.396
225,0,136.241,169.57,-32.0734,-115.867,2224.81,848.239
226,0,137.492,169.621,-29.5609,-117.218,2230.09,843.032
227,0,136.699,171.204,-29.38,-118.957,2233.85,838.53
228,0,137.437,171.993,-27.2105,-120.584,2238.76,833.5
229,0,138.059,172.677,-25.4255,-122.344,2243.97,828.333
230,0,140.327,171.48,-22.9953,-123.442,2249.23,823.065
231,0,141.112,171.934,-20.9234,-125.272,2254.84,817.67
232,0,137.768,176.197,-23.3365,-129.394,2261.42,812.03
233,0,136.386,178.73,-23.7564,-131.796,2266.34,807.379
234,0,126.963,186.621,-28.6657,-138.686,2269.36,802.806
235,0,137.497,181.187,-18.4682,-136.794,2280.64,796.843
236,0,137.925,182.189,-15.4646,-138.885,2287.79,791.322
237,0,140.657,181.554,-11.3652,-140.087,2296.3,785.934
238,,,,,,,
239,0,-13.3658,151.067,37.0789,-109.356,2284.63,732.16
240,0,-9.30182,150.287,37.8261,-111.669,2294.47,725.798
241,0,-15.8279,148.407,39.0444,-113.93,2302.09,718.895
242,0,-15.1675,148.061,41.4597,-116.327,2312.15,713.545
243,0,-13.9565,147.549,43.904,-118.677,2321.83,708.451
244,0,-13.3165,147.118,46.448,-121.059,2331.68,703.818
245,0,-11.2844,146.529,48.2501,-123.009,2341.7,699.249
246,0,-10.397,145.882,51.2465,-125.203,2351.55,695.294
247,0,-9.23762,145.574,53.2186,-127.301,2360.82,691.531
248,0,-7.41356,144.945,55.0704,-129.024,2369.74,688.011
249,0,-6.93219,144.332,57.2556,-130.729,2378.82,684.837
250,0,-4.86828,143.524,58.7477,-131.893,2386.86,682.073
251,0,-4.49291,142.753,60.7231,-133.119,2394.69,679.591
252,0,-3.55003,142.01,62.7486,-134.233,2401.61,677.535
253,0,-2.62789,141.107,64.5852,-134.979,2408.31,675.66
254,0,-2.74931,141.122,65.0131,-135.825,2413.43,673.529
255,0,-1.66748,139.806,67.5703,-136.243,2418.82,672.183
256,0,-1.3055,139.449,68.1771,-136.708,2422.79,670.289
257,0,-0.89694,138.994,69.5694,-137.331,2426.33,668.525
258,0,-1.30288,138.302,69.6357,-137.091,2428.51,666.616
259,0,-0.0727751,137.272,71.7822,-137.641,2431.4,665.797
260,0,0.283945,136.662,72.3685,-137.853,2431.87,664.43
261,0,1.02591,135.972,73.9764,-138.253,2432.16,663.556
262,0,0.195662,136.455,73.2355,-138.478,2429.94,661.725
263,0,0.434903,136.532,73.6272,-139.149,2427.17,660.795
264,0,0.458634,136.239,74.1979,-139.604,2424.43,659.726
265,0,0.0418927,136.776,74.1275,-140.419,2419.16,659.002
