S1-6 X osa,S1-6 Y osa,S1-6 Z osa
-77.78202325,2046.8515929999999,763.7834777500001
-67.8028768,2008.4790529999998,779.7358154
-66.9714748,1972.5418458,802.1765136
-65.8870958,1935.4943113999998,827.9324826
-67.5068688,1906.2307864,853.6671264
-72.6892825,1867.2065125000001,890.87690725
-71.889775,1832.333618,924.112976
-71.722533,1797.9146729999998,959.20872525
-69.766697,1765.1916992,984.4579714000001
-67.824266,1733.8120118,1026.953882
-71.33335633333333,1708.8408813333335,1065.9699094999999
-75.76028616666666,1677.9598184999998,1106.5949300000002
-75.27241219999999,1639.1241212,1143.6296386
-80.50492416666667,1615.1154785,1184.7874753333333
-83.89635016666666,1583.8232421666664,1222.0627643333335
-87.7154165,1554.4020995,1259.8231811666665
-91.0386755,1523.3090211666668,1295.7990725
-94.27783199999999,1492.2414141666668,1330.7500203333332
-97.10263966666668,1461.1327513333333,1364.3020223333333
-100.35658016666667,1429.0082601666666,1397.226583
-103.8538195,1399.3088783333333,1429.1111651666668
-106.97702533333334,1368.2595620000002,1459.759135
-110.1303305,1337.1918335,1489.2341106666665
-113.0978215,1306.3513183333332,1517.7038573333332
-116.19292183333333,1275.5221761666664,1544.987203
-119.11174533333336,1244.4909463333333,1570.8212890000002
-122.05752166666666,1212.8232421666664,1596.3357746666668
-125.18178049999999,1183.2939248333334,1620.1840411666665
-128.18742866666665,1152.5634765,1643.0954185
-131.13747016666665,1122.1908978333333,1665.2387086666665
-134.0548653333333,1091.9024046666666,1686.3630373333333
-136.912646,1061.5362751666667,1706.4441324999998
-139.7745755,1031.3906248333333,1725.3948568333335
-143.03855000000001,1001.0572816666667,1743.190714333333
-145.66622566666666,971.143931,1760.3276163333333
-145.845668,947.4093872,1780.321875
-150.25100983333334,911.4110720000002,1791.2712806666668
-153.3959375,881.5352785,1805.9344075000001
-156.22057716666666,851.7421366666667,1819.0987751666664
-158.79401133333332,822.1133116666666,1831.2901001666667
-161.25113033333335,792.8884481666668,1842.815979
-163.87269199999997,763.6444396666666,1853.2289631666665
-164.81507383333334,737.1927083333334,1862.1374511666666
-169.69764983333334,704.8282981666667,1871.0727131666665
-164.4740968,676.8214234,1881.0272704
-175.0038526666667,645.7949928333334,1885.4085083333337
-178.76656583333332,617.1446128333333,1891.5410971666668
-181.6014481666667,587.8242899999999,1896.6058961666668
-184.54635116666668,555.8933310000001,1900.6504923333334
-187.4667765,528.9619396666667,1903.7848103333333
-190.40148933333333,499.5616098333333,1906.1597086666668
-193.12050116666668,469.66078666666664,1907.2689208333334
-196.379785,433.5270202,1910.175635
-199.35221349999998,410.44878650000004,1906.1620688333333
-202.26544966666665,380.8899893333333,1904.1835123333333
-205.56917066666665,351.6294911666667,1902.5925905000001
-208.69016783333336,322.06146233333334,1899.0116168333332
-211.974505,292.439667,1894.323873
-215.45464316666664,262.01622266666664,1888.7565306666665
-218.00035100000002,233.06692,1882.3086954999999
-221.0692316666667,203.24081166666667,1874.3686521666666
-224.14208966666664,173.4174703333333,1865.8223673333332
-227.24966683333332,143.405979,1856.1545003333333
-230.21653483333333,113.18365866666666,1845.4296265000003
-233.272822,83.1267115,1833.5962524999998
-236.1946588333333,53.257461666666664,1820.7368776666665
-239.133649,23.125551166666668,1806.8609416666666
-242.00218683333335,-6.908413833333334,1791.9871013333332
-244.77117666666666,-36.90447716666667,1775.9735718333334
-247.4454471666667,-66.81874166666667,1758.8388264999996
-250.28059366666665,-96.6875205,1740.6500856666669
-253.11358900000002,-126.34143716666667,1721.6217446666667
-255.8293431666667,-156.05509066666664,1701.4825439999997
-258.5444996666667,-185.3451716666667,1680.3781735000002
-261.15807366666667,-214.77490766666665,1658.3097125000002
-263.8766836666667,-244.05712383333335,1635.211771666667
-266.46182749999997,-273.1541035,1610.9584555000001
-269.03714483333334,-302.3852641666667,1585.8464356666666
-271.6392263333333,-331.5321808333333,1559.8030803333331
-274.42303983333335,-360.6977334999999,1532.8519489999999
-276.78247816666664,-389.49180083333334,1504.983134
-279.35224166666666,-418.183604,1476.2408243333336
-281.72011566666663,-446.9059905,1446.4790853333334
-284.11576600000006,-475.59025066666663,1416.170654166667
-286.5358326666667,-502.7804515,1387.9322713333333
-290.1731898333333,-526.9416809999999,1372.4229328333333
0.0,0.0,0.0
