S1-6 X osa,S1-6 Y osa,S1-6 Z osa
-70.7759285,2645.395691,728.6820833
-71.46494775,2630.36731,728.755203
-72.064331,2613.54718,728.9151153
-72.5665015,2595.933777,729.4805298
-73.12570375,2575.399597,730.9921265
-73.7404845,2553.112671,733.3517303
-74.16042525,2529.429505,736.667404
-74.302929,2504.311401,740.8176883
-74.09355175,2477.38623,746.3336333
-73.73593425,2448.702576,753.4115295
-73.002615,2418.217224,762.3355712
-71.96129975,2385.881958,773.791809
-70.952179,2352.523682,787.2986758
-69.884001,2317.876709,802.9290928
-69.15461075,2281.962708,820.9874878
-68.98177025,2245.39978,840.8837588
-69.22691175,2207.852295,863.2138063
-69.6867105,2169.111389,888.2237243
-62.224686,2131.688135,911.0901856
-62.3472192,2091.601855,943.0955076
-65.44535433,2058.130859,972.9801533
-63.2794246,2014.530835,1014.644421
-64.4613826,1976.436572,1053.013879
-66.5225252,1939.135058,1091.412524
-69.42536733,1909.269389,1125.460388
-71.8658925,1871.942525,1163.203206
-73.82225867,1835.419169,1200.016703
-75.91961025,1786.868836,1226.950287
-78.01359817,1762.192322,1269.724447
-75.4662875,1717.026947,1292.527802
-82.840297,1689.098246,1335.546733
-75.23827275,1648.272247,1357.506134
-87.29234383,1616.124288,1397.764689
-76.388254,1579.45285,1420.633026
-91.32545467,1542.484517,1455.183818
-94.00974983,1506.654236,1482.389872
-96.31372967,1470.261943,1508.6981
-99.14311483,1434.383443,1534.46344
-100.605877,1396.493408,1558.421468
-103.0628407,1361.113058,1581.261454
-105.3114992,1324.596436,1602.821839
-108.1374245,1289.149129,1624.46224
-109.315492,1250.924988,1644.901896
-111.4592833,1216.144938,1663.391337
-113.5053673,1179.932475,1681.541158
-115.5423232,1137.034595,1693.916724
-117.4972052,1108.445129,1714.471497
-119.2757478,1071.796997,1729.856832
-122.6955527,1034.960968,1744.077759
-123.7496682,999.9353842,1757.700603
-123.9425798,957.776489,1772.957593
-127.8086205,928.2760418,1781.217041
-129.9174107,892.290324,1791.52832
-131.8295338,856.3011272,1800.772807
-133.9338393,820.543681,1809.410767
-136.0406303,784.9110007,1816.642436
-138.063746,749.252889,1823.233338
-140.3049292,713.5524395,1828.365824
-142.6443763,677.2316385,1833.06901
-144.4573833,641.226186,1836.155864
-146.244704,605.2453207,1839.293172
-148.2294693,570.7095742,1840.442322
-149.8602157,534.3338827,1841.165426
-151.910061,498.9704997,1840.399638
-154.1892485,463.9844818,1839.085246
-156.5821353,428.3485922,1836.544393
-158.1388067,393.1872865,1832.964295
-160.1291988,357.7092795,1828.445882
-161.8748805,322.1089732,1822.998433
-163.7875112,286.6933975,1816.629028
-165.5724817,251.3025437,1809.311096
-167.432541,216.0026853,1800.991353
-169.1438167,180.5995027,1791.64683
-171.1790467,145.5112775,1781.303853
-172.9365817,110.2309635,1770.224894
-174.9642285,74.943191,1757.959819
-177.0034535,39.93236817,1744.921081
-178.751386,4.8159665,1730.560751
-180.6050262,-30.2752385,1715.454651
-182.2518007,-65.316054,1699.322062
-184.0870082,-100.4185817,1682.14388
-185.9643833,-135.4385833,1663.978536
-187.7468772,-170.277949,1644.96582
-189.5718715,-205.3452758,1625.111247
-191.3806357,-240.2284723,1604.061768
-193.1589228,-275.1994197,1582.153585
-194.6514383,-310.2497965,1559.072693
-196.5955608,-344.8236185,1535.062398
-198.2641985,-379.6377053,1510.033346
-200.1364237,-414.4629263,1484.255087
-201.7845637,-448.744334,1457.792033
-203.5559465,-483.76415,1429.918457
-205.2298177,-517.897232,1401.185242
-206.5386252,-552.4324342,1371.715414
-205.6181945,-579.7559002,1349.827759
-197.8671138,-591.3528543,1343.702332
-200.847997,-600.0822857,1343.766642
-204.1184822,-607.160848,1337.914144
-207.1507902,-616.0623982,1330.00236
-210.1237613,-625.5748902,1321.679972
-212.7976352,-634.6960957,1312.813212
-212.577469,-639.8122924,1310.553467
-214.7185484,-649.0554444,1300.185596
-221.8055075,-662.9751588,1295.433685
